	ols	count
139	cave wall	91
140	subtropical	90
141	brackish water	90
142	material congelation process	88
143	cryoform	87
144	environmental system determined by an organism	83
145	marine ecosystem	81
146	marine biome	79
147	planetary crust	78
148	sedimentary rock	76
149	reef	75
150	marine reef	72
151	ice mass	72
152	fiat part of an astronomical object	72
153	fluid cline	72
154	cryosphere	71
155	marine bed	71
156	agricultural ecosystem	71
157	temperate	69
158	estuarine water	69
159	desert	67
160	bank	66
161	estuary	65
162	crystal	64
163	waste role	63
164	thermolysis	63
165	fluid surface layer	63
166	aerosol formation process	63
167	industrial building	63
168	hydrocarbon-based environmental material	62
169	tropical environment	62
170	glacial process	62
171	water ice crystal	61
172	aquatic estuarine layer	61
173	liquid surface layer	60
174	glacial erosion process	59
175	mount	59
176	cropland ecosystem	59
177	shore	57
178	sea coast	57
179	combustion process	57
180	forest biome	57
181	rock-precursor intrusion process	56
182	meltwater	55
183	motor	55
184	ocean	54
185	material extraction process	52
186	woodland area	52
187	cropland biome	52
188	coastal wetland ecosystem	51
189	altitudinal condition	51
190	waste material	51
191	environmental system determined by a material	50
192	anthropogenic geographic feature	49
193	histosol	49
194	peat soil	48
195	field	47
196	spring	47
197	biofilm material	47
198	sea floor	46
199	hospital unit facility	46
200	oil	45
201	temperate environment	44
202	broadleaf forest	44
203	marine benthic biome	44
204	tropical forest	43
205	aerosol	43
206	commercial building	43
207	stream channel	42
208	atmospheric process	42
209	animal-associated environment	42
210	bodily fluid material	41
211	mass of compounded environmental materials	41
212	tectonic movement	41
213	environment associated with an animal part or small animal	41
214	precipitation process	41
215	plumbing fixture	40
216	river	39
217	human settlement	39
218	marine environmental zone	39
219	mediterranean	39
220	usage of an environment for industry	39
221	brackish estuary	38
222	glacier	37
223	vehicle	37
224	geographic basin	36
225	grassland ecosystem	36
226	melting	35
227	piece of rock	35
228	toilet fixture	35
229	liquid air-water interface layer	35
230	aquatic environment	34
231	usage of an environment for business	34
232	farm	34
233	tundra ecosystem	34
234	plain	33
235	enriched soil	33
236	mountain	33
237	freshwater stream	33
238	continental margin	33
239	fishing	32
240	transport feature	32
241	hydrological melting process	32
242	temperate forest	32
243	gaseous front	32
244	igneous rock	32
245	desublimation process	32
246	desublimation of water vapour into ice	32
247	tropical biome	32
248	continental shelf	31
249	snow crystal	31
250	geological fracture	31
251	weather front	31
252	frozen land	31
253	arid	30
254	petroleum	30
255	broadleaf forest biome	30
256	pycnocline	30
257	water current	30
258	marine cline	29
259	dust	29
260	dense settlement	29
261	marine current	29
262	temperate biome	29
263	tundra biome	28
264	public infrastructure	28
265	island	28
266	icemelt	28
267	administrative region	28
268	mine	28
269	subtropical environment	28
270	lamp	27
271	woodland ecosystem	27
272	building envelope	27
273	water ice formation process	27
274	usage of an environment for transportation	26
275	coal	26
276	house	26
277	dense settlement biome	26
278	biomaterial containment unit	26
279	domestic building	26
280	hydrological precipitation process	25
281	valley	25
282	area of barren land	25
283	lava	25
284	woodland canopy	25
285	agricultural environmental material	24
286	frozen soil	24
287	water-body-derived ice	24
288	montane	24
289	chemical engineering process	24
290	refinement process	24
291	manure	24
292	bedrock dissolution	24
293	protected area	24
294	desert area	24
295	pit	24
296	shoreline	24
297	needleleaf forest	23
298	sea ice	23
299	snow	23
300	masonry cement	23
301	tropical broadleaf forest	23
302	urban biome	22
303	troposphere	22
304	pond	22
305	freezing	21
306	plantation	21
307	hill	21
308	freezing of water into water ice	21
309	building wall	21
310	mud	20
311	solutional cave	20
312	freshwater ecosystem	20
313	subtropical biome	20
314	flooding	20
315	water surface	20
316	exterior wall	20
317	marine layer	19
318	paraffin lamp	19
319	coral reef	19
320	latrine pit	19
321	mass fluid flow	19
322	limestone cave	19
323	area of protected biodiversity	19
324	advective transport process	19
325	crater	19
326	coniferous forest biome	19
327	biological waste material	19
328	freshwater biome	18
329	permafrost	18
330	littoral zone	18
331	snowfall	18
332	mixed forest	18
333	garden	18
334	excreta material	18
335	hypersaline water	18
336	ash	18
337	salt material	18
338	sedimentation in a water body	18
339	condensation process	18
340	ecotone	18
341	agricultural field	18
342	alpine	18
343	concrete	18
344	organic waste material	18
345	chemical colorant	18
346	brick material	17
347	thawing process	17
348	constructed barrier	17
349	thermocline	17
350	material warming process	17
351	permafrost thawing process	17
352	swamp ecosystem	17
353	tree line ecotone	17
354	underground water	17
355	constructed pavement	17
356	masonry unit	17
357	stream bank	17
358	lithosphere	17
359	mass wasting	16
360	marine littoral zone	16
361	chemical precipitation process	16
362	political entity	16
363	marine neritic benthic zone biome	16
364	warming of a liquid	16
365	chemical product	16
366	warming of a solid	16
367	ice-bearing permafrost thawing process	16
368	river bank	16
369	oceanic front	16
370	warming of a fluid	16
371	dry lake	16
372	freshwater river	16
373	groundwater	16
374	animal manure	16
375	human house	16
376	landslide process	16
377	beach	16
378	aeolian transport process	15
379	building roof	15
380	piece of gravel	15
381	fecal material	15
382	polar	15
383	area of tundra	15
384	piece of furniture	15
385	karst	15
386	frost action process	15
387	tropical broadleaf forest biome	15
388	cryoturbation of soil	15
389	room	15
390	alluvial soil	15
391	land ice mass	15
392	intrusion	15
393	gaseous astronomical body part	14
394	eutrophic water	14
395	new ice	14
396	shop	14
397	estuarine open water pycnocline	14
398	latrine	14
399	dam	14
400	estuarine coastal pycnocline	14
401	rock intrusion	14
402	gravel	14
403	anthropised terrestrial environmental zone	14
404	divergent tectonic movement	14
405	cold front	14
406	meromictic lake	13
407	mineral spring	13
408	magma	13
409	limestone	13
410	national geopolitical entity	13
411	mangrove swamp	13
412	depositional process	13
413	chemically enriched sediment	13
414	sediment surface	13
415	road	13
416	motor vehicle	13
417	warm front	13
418	fire	13
419	marine pelagic biome	13
420	stratosphere	13
421	cryospheric layer	13
422	part of a landmass	13
423	soil texture	12
424	meteor	12
425	anatomical entity environment	12
426	woodland biome	12
427	new ice formation process	12
428	wax	12
429	drift ice mass	12
430	wood	12
431	lake layer	12
432	range of mounts	12
433	cloud	12
434	peatland	12
435	residential building	12
436	thermokarst	12
437	atmospheric aerosol	12
438	structural basin	12
439	temperate broadleaf forest	12
440	volcano	12
441	sludge	12
442	generation of energy from coal	12
443	floating ice mass	12
444	brick	12
445	ore	12
446	freshwater lake	12
447	frost heaving process	12
448	intertidal zone	12
449	artificial channel	12
450	aerosolised liquids	11
451	soil organic matter	11
452	subsurface zone of an astronomical body	11
453	power plant	11
454	bioreactor	11
455	freshwater river biome	11
456	energy	11
457	usage of an environment for residential activity	11
458	river channel	11
459	frazil	11
460	frost	11
461	artificial lake	11
462	sterile water	11
463	surface layer of a water body	11
464	desert ecosystem	11
465	first-order administrative region	10
466	outhouse	10
467	restaurant	10
468	thermokarst depression	10
469	mediterranean biome	10
470	pit latrine	10
471	mining	10
472	desert biome	10
473	channel	10
474	thermosphere	10
475	container of an intermittent water body	10
476	hydrothermal vent	10
477	hypolimnion	10
478	alkaline water	10
479	hydrogenous sediment	10
480	continental slope	10
481	scrubland area	10
482	plant matter	10
483	phreatic zone	10
484	subtropical forest	10
485	temperate mixed forest	10
486	marine sub-littoral zone	10
487	glass	10
488	hand tool	10
489	intensive care unit facility	10
490	constructed transport system	10
491	hydrocarbon gas	10
492	volcanic feature	10
493	airport	10
494	tropical moist broadleaf forest	10
495	mouth	10
496	temperate broadleaf forest biome	10
497	medical clinic	10
498	paddy field	10
499	sea	10
500	sediment permeated by saline water	9
501	continental crust	9
502	tundra climatic condition	9
503	reservoir	9
504	ecozone	9
505	wildfire	9
506	planetary subsurface zone	9
507	ice cap	9
508	vadose zone	9
509	conflagration	9
510	cliff	9
511	clastic sedimentary rock	9
512	loam	9
513	fog	9
514	sediment permeated by freshwater	9
515	subpolar	9
516	thatch	9
517	marine thermocline	9
518	glue	9
519	ditch	9
520	land fire	9
521	contaminated water	9
522	material isosurface	9
523	animal house	9
524	mass of gas	9
525	oligotrophic water	9
526	tectonic plate	9
527	mass of fluid	9
528	grassland area	9
529	marine hydrothermal vent	9
530	mesosphere	9
531	sea ice formation process	9
532	polymetallic nodule	9
533	ocean current	9
534	mixed forest biome	9
535	human dwelling	9
536	impact between astronomical bodies	8
537	estuarine coastal lower water column	8
538	landslide	8
539	organically enriched sediment	8
540	glacial valley	8
541	estuarine open water upper water column	8
542	public transit system	8
543	water ice layer	8
544	dune	8
545	igneous intrusion process	8
546	seamount	8
547	tropical needleleaf forest	8
548	rockslide process	8
549	estuarine coastal upper water column	8
550	ice floe	8
551	coastal flooding	8
552	upwelling	8
553	inlet	8
554	impact event	8
555	watercraft	8
556	aquifer	8
557	kerogen	8
558	gas emission process	8
559	estuarine open water surface layer	8
560	planetary atmosphere	8
561	volcanic cone	8
562	high osmolarity environment	8
563	marine water mass	8
564	holomictic lake	8
565	shrubland biome	8
566	anoxic water	8
567	estuarine coastal surface layer	8
568	bridge	8
569	oxic water	8
570	hypoxic water	8
571	building floor	8
572	nuclear reactor	8
573	canal	8
574	oceanic pelagic zone biome	8
575	train	8
576	vivarium	8
577	area protected according to IUCN guidelines	8
578	energy transfer process	8
579	alluvial plain	7
580	large river biome	7
581	estuarine open water lower water column	7
582	polar environment	7
583	abyssal plain	7
584	second-order administrative region	7
585	coal mine	7
586	marine eulittoral zone	7
587	compost	7
588	sandy beach	7
589	polling place	7
590	saline lake	7
591	metalimnion	7
592	tropical coniferous forest biome	7
593	wetland area	7
594	boulder	7
595	fossilization of organic material	7
596	dye	7
597	forested area	7
598	planetary photic zone	7
599	conveyor belt component	7
600	day care building	7
601	metallic material	7
602	iron sheet	7
603	savanna biome	7
604	grassland biome	7
605	frazil ice	7
606	mass liquid flow	7
607	tidal flow process	7
608	intertidal ecosystem	7
609	middle atmospheric level	7
610	latrine slab	7
611	rapid transit system	7
612	rangeland biome	7
613	soot	7
614	uranium ore	7
615	temperate coniferous forest biome	7
616	temperate mixed forest biome	7
617	flood plain	7
618	tropical moist broadleaf forest biome	7
619	seep	7
620	boat	7
621	airport terminal	7
622	office	7
623	contaminated soil	7
624	material decumulation zone	7
625	observing system	7
626	anaerobic sediment	7
627	paint	6
628	freshwater wetland ecosystem	6
629	pack ice mass	6
630	aerosolised solids	6
631	fume	6
632	lantern	6
633	recycling process	6
634	biomaterial culturing unit	6
635	periphytic biofilm	6
636	animal habitation	6
637	agricultural soil	6
638	forest soil	6
639	flood	6
640	glacial lake	6
641	ridge	6
642	aeroform	6
643	subtropical broadleaf forest	6
644	saline environment	6
645	food shop	6
646	marine surface current	6
647	observatory system	6
648	usage of an environment for community and social services	6
649	ice decumulation zone	6
650	material accumulation zone	6
651	ocean floor	6
652	utensil	6
653	mineral deposit	6
654	coastal inlet	6
655	humus	6
656	educational facility	6
657	chalk	6
658	tropical marine condition	6
659	area of perennial ice or snow	6
660	creosote	6
661	natural environment	6
662	area of developed space	6
663	tectonic plate boundary	6
664	meadow ecosystem	6
665	straw	6
666	mountain range	6
667	volcanic ash	6
668	nuclear power reactor	6
669	pyrolysis	6
670	subsurface landform	6
671	stream mouth	6
672	air mass	6
673	leachate	6
674	bare soil	5
675	paper product	5
676	smoke	5
677	underground water body	5
678	coal ash	5
679	river mouth	5
680	melt pond	5
681	frost heave	5
682	integumental system environment	5
683	hygienic food production area	5
684	ice lead	5
685	conveyor system	5
686	ice surface layer	5
687	institutional building	5
688	plastic	5
689	orchard	5
690	paraffin lantern	5
691	rural area	5
692	montane biome	5
693	conifer woodland	5
694	peak	5
695	planktonic material	5
696	colorant fluid	5
697	plant litter	5
698	tuff	5
699	meander	5
700	marine hydrothermal vent biome	5
701	solar panel array	5
702	research facility	5
703	hypereutrophic water	5
704	moraine	5
705	marine faunal bed	5
706	area of alpine tundra	5
707	animal waste material	5
708	marine reef biome	5
709	subpolar environment	5
710	colloidal sediment	5
711	mesoscale marine eddy	5
712	factory	5
713	gaseous surface layer	5
714	rime	5
715	drainage basin	5
716	shrimp pond	5
717	quicksand	5
718	crater lake	5
719	well	5
720	tephra	5
721	marine aphotic zone	5
722	scoria	5
723	impermeable surface layer	5
724	pumice	5
725	ice ablation zone	5
726	planetary core	5
727	silica-based glass	5
728	ice accumulation zone	5
729	hoar	5
730	mine tailing	5
731	geothermally active field	5
732	slush ice	5
733	waste treatment plant	5
734	brine	5
735	ecoregion	5
736	material decumulation process	5
737	mangrove biome	5
738	asphalt	5
739	dry lake bed	5
740	manufacturing equipment	5
741	mesotrophic water	5
742	flash flooding	4
743	low atmospheric level	4
744	high-elevation mountain	4
745	natural gas	4
746	headwater	4
747	abattoir	4
748	prison facility	4
749	delta	4
750	tropical mixed forest	4
751	sediment environment	4
752	riverine flooding	4
753	bush area	4
754	geological fault	4
755	montane forest	4
756	drumlin	4
757	mid-elevation mountain	4
758	refined asphalt	4
759	high atmospheric level	4
760	estuarine tidal riverine coastal surface layer	4
761	resin	4
762	marine pockmark	4
763	salt mass	4
764	gaseous part of an atmosphere	4
765	animal trap	4
766	plaster	4
767	cold seep	4
768	anchialine pool	4
769	lava flow	4
770	amorphous solid	4
771	burnt brick	4
772	archipelago	4
773	unburnt brick	4
774	tile	4
775	enrichment culturing unit	4
776	hummock	4
777	laboratory environment	4
778	tunnel	4
779	fossil fuel power plant	4
780	freshwater ice	4
781	flattened elevation	4
782	tornado	4
783	mine drainage	4
784	estuarine tidal riverine open water surface layer	4
785	rhizosphere	4
786	transport boat	4
787	surface water	4
788	refinery	4
789	marine tidal flow process	4
790	equipment frame	4
791	ice loss process	4
792	paint thinner	4
793	doline	4
794	dry valley	4
795	volcanic crater	4
796	anaerobic bioreactor	4
797	sports facility	4
798	dacite	4
799	hydrocarbon gas emission process	4
800	permafrost methane explosion	4
801	explosion process	4
802	scree	4
803	continental rise	4
804	saline water environment	4
805	andesite	4
806	storm surge process	4
807	primary cave	4
808	air conditioning unit	4
809	sandur	4
810	conveyor belt	4
811	pharmacy	4
812	glacial ice ablation zone	4
813	aquaculture process	4
814	occluded front	4
815	eating utensil	4
816	lake shore	4
817	ocean basin	4
818	terrace	4
819	container of an intermittent lake	4
820	igneous intrusion	4
821	water-based rainfall	4
822	dairy	4
823	neritic pelagic zone biome	4
824	mussel bed	4
825	allotment garden	4
826	lake bed	4
827	hydrothermal fluid	4
828	open-pit mine	4
829	marine photic zone	4
830	fishing gear	4
831	rubber plantation	4
832	university campus	4
833	lithification	4
834	ecosystem fragmentation process	4
835	effusive eruption	4
836	sea shore	4
837	third-order administrative region	4
838	sea cliff	4
839	marine supra-littoral zone	4
840	marine warm-water sphere	4
841	marine cold-water sphere	4
842	marine wind mixed layer	4
843	endorheic basin	4
844	rockfall	4
845	outer space	4
846	ice cave	4
847	mediterranean sea biome	4
848	acidic water	4
849	impact crater	4
850	field soil	4
851	cryoconite deposit	4
852	subpolar biome	4
853	freshwater spring	4
854	bed base	4
855	glacial ice accumulation zone	4
856	lignite	4
857	bed frame	4
858	mattress	4
859	meterorite impact	4
860	freezing rainfall	4
861	petroleum enriched sediment	4
862	mussel reef	4
863	coastal water body	4
864	mass of biological material	4
865	polling station	4
866	biogenous sediment	4
867	waste water	4
868	brine channel formation process	4
869	silage	4
870	ranch	4
871	conference venue	4
872	manure storage space	4
873	free atmosphere	4
874	subtropical grassland	4
875	emergency unit facility	4
876	concrete masonry unit	4
877	city	4
878	usage of an environment for recreation	4
879	metamorphic rock	4
880	desalination process	3
881	fuel oil	3
882	glacial surface layer	3
883	farm soil	3
884	paddy field soil	3
885	carbon-bearing gas emission process	3
886	star	3
887	pingo	3
888	industrial waste material	3
889	colloidal suspension	3
890	dambo	3
891	gasoline	3
892	cell culture	3
893	volcanic arc	3
894	volcanic field	3
895	pebble	3
896	wastewater treatment process	3
897	pole	3
898	diesel fuel	3
899	liquefied hydrocarbon gas	3
900	grassland soil	3
901	wastewater treatment plant	3
902	carbon dioxide emission process	3
903	dust from plant parts	3
904	gill tissue material	3
905	soda-lime glass	3
906	covered latrine	3
907	aerosol environment	3
908	liquid surface of an astronomical body	3
909	usage of an environment for infrastructure and utilities	3
910	marine upwelling biome	3
911	campground	3
912	eaves	3
913	fibrous dust	3
914	marsh	3
915	alkaline flat	3
916	continental island	3
917	subpolar coniferous forest biome	3
918	brackish water body	3
919	hatchery	3
920	skin environment	3
921	freshwater congelation ice	3
922	subalpine	3
923	pipeline network	3
924	marine sediment	3
925	bar	3
926	intermediate lava	3
927	pitfall trap	3
928	harbour	3
929	ice shelf	3
930	dike	3
931	park	3
932	ice lens	3
933	cloud part	3
934	animal litter	3
935	aquarium	3
936	area of attached faunal communities	3
937	freshwater lake biome	3
938	stormwater	3
939	Taylor column	3
940	ash cone	3
941	contaminated sludge	3
942	subtropical broadleaf forest biome	3
943	marine tidal flow zone	3
944	brick exterior wall	3
945	algal bloom	3
946	nutricline	3
947	upper air	3
948	abandoned fishing gear	3
949	particulate organic matter	3
950	switch	3
951	grocery store	3
952	volatile astrogeological material	3
953	long-term care facility	3
954	merchant vessel	3
955	passenger train	3
956	warehouse	3
957	marginal sea biome	3
958	explosive eruption	3
959	polymictic lake	3
960	powdery snow	3
961	market	3
962	bitumous coal	3
963	processing plant	3
