class,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002252,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|solonchak,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002253,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|umbrisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002254,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|vertisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002255,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|solonetz,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002256,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|regosol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002257,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|podzol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002258,,porous|porosity|soil texture,,,,,,,,porous|porosity|soil texture,,,,sand|clay|silt,porous|porosity,,soil|loam,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002259,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|agricultural soil,,agricultural ecosystem|anthropogenic environment|pedosphere|anthropised ecosystem|sand|clay|silt,,anthropogenic environment|agricultural ecosystem|pedosphere|anthropised ecosystem|clay|sand|silt,anthropogenic environment|agricultural ecosystem|pedosphere|anthropised ecosystem,,,,
ENVO_00002260,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|upland soil|dune soil,,hill|dune|elevated landform|mount|landform|pedosphere|clay|sand|silt,,hill|dune|elevated landform|mount|landform|pedosphere|clay|sand|silt,dune|elevated landform|hill|mount|pedosphere|landform,,,,
ENVO_00002261,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002262,,porous|porosity,clay,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|clay soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002263,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|garden soil,anthropogenic geographic feature|garden,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,anthropogenic geographic feature|garden|pedosphere,,,,
ENVO_00002264,,waste role,,,,,,,,waste role,,,,,,waste role,waste material,,,,,,,,,
ENVO_00002266,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|chicken breeding waste material|agricultural waste material,,,,,,,,,
ENVO_00002267,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|industrial waste material,,,,,,,,,
ENVO_00002273,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|fluvisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002274,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|stagnosol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002275,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|technosol,,technosphere|pedosphere|sand|clay|silt,,pedosphere|technosphere|clay|sand|silt,pedosphere|technosphere,,,,
ENVO_00002276,,waste role,waste material|organic waste material,,,,,,,waste role,,,,waste material|organic waste material,,waste role,waste material|animal waste material|organic waste material,,waste material|organic waste material,,waste material|organic waste material,,,,,
ENVO_00002869,,,,,,,,,anthropogenic environmental process,,,,,,,,hay,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002870,,,,,,,,,manufacturing process|anthropogenic environmental process,,,,,clay|sand,,,manufactured product|adobe,,sand|clay,manufacturing process|anthropogenic environmental process,clay|sand,,,manufacturing process|anthropogenic environmental process,,
ENVO_00002871,,porous|porosity,,,,,,water flow process|erosion,water flow process|erosion,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|alluvial soil,,pedosphere|clay|sand|silt,water flow process|erosion,pedosphere|clay|sand|silt,pedosphere,,water flow process|erosion,,
ENVO_00002872,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|bagasse,,,,,,,,,
ENVO_00002873,,waste role,waste material|organic waste material,,,,,,,waste role,,,,waste material|organic waste material,,waste role,waste material|organic waste material,,waste material|organic waste material,,waste material|organic waste material,,,,,
ENVO_00002875,,porous|porosity,,,,,,,,porous|porosity,,,oil,clay|sand|silt|oil,porous|porosity,,soil|enriched soil|contaminated soil|oil contaminated soil,,pedosphere|sand|clay|silt|oil,,pedosphere|clay|sand|silt|oil,pedosphere,,,,
ENVO_00002982,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,clay,,,,,,,,,
ENVO_00002983,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|fuel oil,,,,,,,,,
ENVO_00002984,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|petroleum,,,,,,,,,
ENVO_00002985,,fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel,oil,,,,,,,,,
ENVO_00003030,,,,,,,,,anthropogenic environmental process,,,,,,,,silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003031,,,,,,,,,,,,,,,,,animal manure|manure,,,,,,,,,
ENVO_00003032,,,,,,,,,,,,,,,,,fresh animal manure|animal manure|manure,,,,,,,,,
ENVO_00003033,,,,,,,,,,,,,,,,,mushroom compost|compost|manure,,,,,,,,,
ENVO_00003044,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|hypersaline water|brine,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom,,,,,
ENVO_00003045,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|hypersaline water|brine|bacon curing brine,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,,,,
ENVO_00003064,,,,,,,,,,,,,,,,,liquid water|fresh water|drinking water,,,,,,,,,
ENVO_00003065,,,,,,,,,,,,,,,,,liquid water|distilled water,,,,,,,,,
ENVO_00003071,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|grass silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003081,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|enriched soil|metal contaminated soil|contaminated soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|enriched soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003083,,porous|porosity,,,,,,,,porous|porosity,,,organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,sand|clay|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,porous|porosity,,soil|sarcosine enriched soil|enriched soil,,pedosphere|sand|clay|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,,pedosphere|clay|sand|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,pedosphere,,,,
ENVO_00003084,,porous|porosity,,,,,,,,porous|porosity,,,tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,sand|clay|silt|tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,porous|porosity,,soil|trimethylamine enriched soil|enriched soil,,pedosphere|sand|clay|silt|tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,,pedosphere|clay|sand|silt|trimethylamine|tertiary amine|amine|tertiary amino compound|methylamines,pedosphere,,,,
ENVO_00003085,,porous|porosity,,,,,,,,porous|porosity,,,aromatic compound|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|methylindole,sand|clay|silt|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|aromatic compound|methylindole,porous|porosity,,soil|skatole enriched soil|enriched soil,,pedosphere|sand|clay|silt|aromatic compound|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|methylindole,,pedosphere|clay|sand|silt|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|aromatic compound|methylindole,pedosphere,,,,
ENVO_00003086,,porous|porosity,,,,,,,,porous|porosity,,,volatile organic compound|alcohol|ethanol|ethanols,sand|clay|silt|volatile organic compound|alcohol|ethanol|ethanols,porous|porosity,,soil|ethanol enriched soil|enriched soil,,pedosphere|sand|clay|silt|volatile organic compound|alcohol|ethanol|ethanols,,pedosphere|clay|sand|silt|volatile organic compound|alcohol|ethanol|ethanols,pedosphere,,,,
ENVO_00003087,,porous|porosity,,,,,,,,porous|porosity,,,amide|acetamide|N-acylammonia|primary amide|acetamides,sand|clay|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,porous|porosity,,soil|acetamide enriched soil|enriched soil,,pedosphere|sand|clay|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,,pedosphere|clay|sand|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,pedosphere,,,,
ENVO_00003088,,porous|porosity,,,,,,,,porous|porosity,,,pantothenate,sand|clay|silt|pantothenate,porous|porosity,,soil|pantothenate enriched soil|enriched soil,,pedosphere|sand|clay|silt|pantothenate,,pedosphere|clay|sand|silt|pantothenate,pedosphere,,,,
ENVO_00003089,,porous|porosity,,,,,,,,porous|porosity,,,"lipid|steroid|ketone|testosterone|C19-steroid|cyclic ketone|androstanoid|enone|alpha,beta-unsaturated ketone","sand|clay|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",porous|porosity,,soil|testosterone enriched soil|enriched soil,,"pedosphere|sand|clay|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",,"pedosphere|clay|sand|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",pedosphere,,,,
ENVO_00003090,,porous|porosity,,,,,,,,porous|porosity,,,kynurenate,sand|clay|silt|kynurenate,porous|porosity,,soil|kynurenate enriched soil|enriched soil,,pedosphere|sand|clay|silt|kynurenate,,pedosphere|clay|sand|silt|kynurenate,pedosphere,,,,
ENVO_00003091,,porous|porosity,,,,,,,,porous|porosity,,,organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,sand|clay|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,porous|porosity,,soil|threonine enriched soil|enriched soil,,pedosphere|sand|clay|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,,pedosphere|clay|sand|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,pedosphere,,,,
ENVO_00003092,,porous|porosity,,,,,,,,porous|porosity,,,salicylate,sand|clay|silt|salicylate,porous|porosity,,soil|salicylate enriched soil|enriched soil,,pedosphere|sand|clay|silt|salicylate,,pedosphere|clay|sand|silt|salicylate,pedosphere,,,,
ENVO_00003093,,porous|porosity,,,,,,,,porous|porosity,,,ester,sand|clay|silt|ester,porous|porosity,,soil|enriched soil,,pedosphere|sand|clay|silt|ester,,pedosphere|clay|sand|silt|ester,pedosphere,,,,
ENVO_00003094,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|L-(+)-tartrate enriched soil|enriched soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003095,,porous|porosity,,,,,,,,porous|porosity,,,quinate,clay|sand|silt|quinate,porous|porosity,,soil|quinate enriched soil|enriched soil,,pedosphere|sand|clay|silt|quinate,,pedosphere|clay|sand|silt|quinate,pedosphere,,,,
ENVO_00003096,,,,,,,,,,,,,,,,,liquid water|fresh water|tap water,,,,,,,,,
ENVO_00003097,,,,,,,,,,,,,,,,,liquid water|bore hole water,,,,,,,,,
ENVO_00003859,,,,,,,,,,,,,,,,,horse manure|animal manure|manure,,,,,,,,,
ENVO_00003860,,,,,,,,,,,,,,,,,pig manure|animal manure|manure,,,,,,,,,
ENVO_00003869,,,,,,,,,anthropogenic environmental process,,,,,,,,straw,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003870,,,,,,,,,anthropogenic environmental process,,,,,,,,rice straw|straw,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003884,,,,,,,,,,,,,,,,,farmyard manure|animal manure|manure,,,,,,,,,
ENVO_00003900,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|rye grass silage|grass silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003903,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|aviation fuel,,,,,,,,,
ENVO_00003908,,,,,,,,,,,,,,,,,animal litter|poultry litter|poultry deep litter,,,,,,,,,
ENVO_00003914,,porous|porosity,,,,,,,,porous|porosity,,,rock|sedimentary rock|limestone|chalk,clay|sand|silt|rock|limestone|chalk|sedimentary rock,porous|porosity,,soil|enriched soil|chalk soil,,pedosphere|sand|clay|silt|rock|limestone|chalk|sedimentary rock,,pedosphere|clay|sand|silt|rock|limestone|chalk|sedimentary rock,pedosphere,,,,
ENVO_00003927,,,,,,,,,,,,,,,,,stable manure|animal manure|manure,,,,,,,,,
ENVO_00003930,,,,,,,,,,,,,,,,,scum,,,,,,,,,
ENVO_00003965,,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,,,anthropogenic environmental process,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,anaerobic|sensitivity toward|sensitivity to oxygen,,anaerobic digester sludge|sludge|anaerobic sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003978,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|potato silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003982,,hard,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,precipitation process,precipitation process,hard,,,,,hard,,rock|sedimentary rock|limestone|travertine,,,precipitation process,,,,precipitation process,,
ENVO_00005739,,,,hydrosphere,,,,,,,,,,,,,sea foam,marine water body|hydrosphere|saline water body|sea,,,,,,,,
ENVO_00005740,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|paddy field soil|field soil|agricultural soil,,paddy field|agricultural field|agricultural ecosystem|field|anthropogenic environment|anthropised ecosystem|pedosphere|clay|sand|silt,,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|pedosphere|anthropised ecosystem|clay|sand|silt,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|pedosphere|anthropised ecosystem,,,,
ENVO_00005741,,porous|porosity|alpine|altitudinal condition,,,,,,,,porous|porosity|alpine|altitudinal condition,,,,clay|sand|silt,porous|porosity|alpine|altitudinal condition,,soil|alpine soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005742,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|arable soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005743,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|roadside soil,anthropogenic geographic feature|roadside,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005744,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|garden soil|allotment garden soil,anthropogenic geographic feature|garden,anthropogenic geographic feature|garden|pedosphere|sand|clay|allotment garden|silt,,anthropogenic geographic feature|garden|pedosphere|clay|sand|allotment garden|silt,anthropogenic geographic feature|garden|pedosphere|allotment garden,,,,
ENVO_00005746,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|grassland soil|savanna soil,terrestrial biome|terrestrial ecosystem|grassland area|savanna|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005747,,porous|porosity,,,manure|compost,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|compost soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005748,,porous|dry|porosity,,,,,,,,porous|porosity|dry,,,,clay|sand|silt,porous|porosity|dry,,soil|dry soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005749,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|farm soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005750,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|grassland soil,terrestrial biome|terrestrial ecosystem|grassland area|vegetated area,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005751,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|jungle soil,terrestrial biome|terrestrial ecosystem|vegetated area,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005752,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|sawah soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005753,,porous|porosity,,,,,,,,porous|porosity,,,amide|urea|primary amide,clay|sand|silt|amide|urea|primary amide,porous|porosity,,soil|enriched soil|urea enriched soil,,pedosphere|clay|sand|silt|amide|urea|primary amide,,pedosphere|clay|sand|silt|amide|urea|primary amide,pedosphere,,,,
ENVO_00005754,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|fertilized soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005755,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|field soil,,agricultural field|field|pedosphere|sand|clay|silt,,agricultural field|field|pedosphere|clay|sand|silt,agricultural field|field|pedosphere,,,,
ENVO_00005756,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|lawn soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005757,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|enriched soil|bacteria enriched soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005758,,porous|porosity,,,,,,water flow process|erosion,water flow process|erosion,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|alluvial soil|alluvial swamp soil,,pedosphere|clay|sand|swamp ecosystem|silt|wetland ecosystem,water flow process|erosion,pedosphere|clay|sand|swamp ecosystem|silt|wetland ecosystem,pedosphere|swamp ecosystem|wetland ecosystem,,water flow process|erosion,,
ENVO_00005759,,porous|porosity,,,,,,water flow process|erosion,water flow process|erosion,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|paddy field soil|field soil|alluvial soil|agricultural soil|alluvial paddy field soil,,paddy field|agricultural field|agricultural ecosystem|field|anthropogenic environment|anthropised ecosystem|pedosphere|clay|sand|silt,water flow process|erosion,paddy field|agricultural field|agricultural ecosystem|field|anthropogenic environment|pedosphere|anthropised ecosystem|clay|sand|silt,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|anthropised ecosystem|pedosphere,,water flow process|erosion,,
ENVO_00005760,,porous|porosity,,,,,,,aerosol formation process|thermolysis|combustion process,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|burned soil,,pedosphere|sand|clay|silt,aerosol formation process|combustion process|thermolysis,pedosphere|clay|sand|silt,pedosphere,,aerosol formation process|thermolysis|combustion process,,
ENVO_00005761,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|meadow soil,,meadow ecosystem|grassland ecosystem|terrestrial ecosystem|pedosphere|sand|clay|silt,,meadow ecosystem|pedosphere|grassland ecosystem|terrestrial ecosystem|clay|sand|silt,meadow ecosystem|terrestrial ecosystem|grassland ecosystem|pedosphere,,,,
ENVO_00005762,,porous|porosity,,,,,,,,porous|porosity,,,organochlorine compound|chloropicrin|chlorine molecular entity,clay|sand|silt|halogen|organochlorine compound|chloropicrin|chlorine molecular entity|chlorine atom,porous|porosity,,soil|enriched soil|chloropicrin enriched soil,,pedosphere|clay|sand|silt|halogen|organochlorine compound|chloropicrin|chlorine molecular entity|chlorine atom,,pedosphere|clay|sand|silt|organochlorine compound|chloropicrin|chlorine molecular entity|chlorine atom|halogen,pedosphere,,,,
ENVO_00005763,,porous|porosity,,,,,,,,porous|porosity,,,humus|ash|soil organic matter,clay|sand|silt|humus|ash|soil organic matter,porous|porosity,,soil|enriched soil|humus-rich acidic ash soil,,soil|pedosphere|clay|sand|silt|humus|ash|soil organic matter,,soil|pedosphere|clay|sand|silt|humus|ash|soil organic matter,pedosphere,,,,
ENVO_00005764,pond,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|pond soil,,pedosphere|sand|clay|pond|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005765,,porous|porosity|frozen,,,manure|compost,,,,,porous|porosity|frozen,,,,clay|sand|silt,porous|porosity|frozen,,soil|compost soil|frozen soil|frozen compost soil,,pedosphere|frozen land|clay|sand|silt,,pedosphere|frozen land|clay|sand|silt,pedosphere|frozen land,,,,
ENVO_00005766,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|limed soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005767,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|manured soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005768,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|orchid soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005769,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|upland soil|forest soil|mountain forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,elevated landform|mount|landform|pedosphere|clay|sand|silt|mountain,,elevated landform|mount|pedosphere|landform|clay|sand|mountain|silt,elevated landform|mount|landform|pedosphere|mountain,,,,
ENVO_00005770,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|forest soil|beech forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005771,,porous|porosity,mud,,,,,,,porous|porosity,,,,soil|liquid water|sand|clay|silt|mud,porous|porosity,,soil|muddy soil,,soil|pedosphere|clay|sand|liquid water|silt|mud,,soil|pedosphere|clay|liquid water|sand|silt|mud,pedosphere,,,,
ENVO_00005772,,porous|porosity,,anthropogenic environment|anthropogenic terrestrial biome|cropland biome|terrestrial biome|terrestrial ecosystem|cropland ecosystem|anthropised ecosystem,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|farm soil|orchard soil,farm|anthropogenic environment|orchard|plantation|agricultural ecosystem|terrestrial biome|anthropogenic terrestrial biome|cropland biome|cropland ecosystem|terrestrial ecosystem|anthropised ecosystem,farm|orchard|plantation|agricultural ecosystem|terrestrial biome|anthropogenic environment|anthropogenic terrestrial biome|cropland biome|cropland ecosystem|terrestrial ecosystem|anthropised ecosystem|pedosphere|clay|sand|silt,,farm|orchard|plantation|agricultural ecosystem|terrestrial biome|anthropogenic environment|anthropogenic terrestrial biome|cropland biome|pedosphere|cropland ecosystem|terrestrial ecosystem|anthropised ecosystem|clay|sand|silt,farm|anthropogenic environment|orchard|plantation|agricultural ecosystem|terrestrial biome|pedosphere|anthropogenic terrestrial biome|cropland biome|terrestrial ecosystem|cropland ecosystem|anthropised ecosystem,,,,
ENVO_00005773,,porous|porosity,,farm|anthropogenic environment|agricultural ecosystem|anthropogenic terrestrial biome|terrestrial biome|terrestrial ecosystem|anthropised ecosystem,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|pasture soil,farm|anthropogenic environment|agricultural ecosystem|terrestrial biome|anthropogenic terrestrial biome|grassland ecosystem|terrestrial ecosystem|anthropised ecosystem|pasture,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005774,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|histosol|peat soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005775,,porous|porosity|osmolarity|increased osmolarity,,,,,,,,porous|porosity|osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,clay|sand|silt|salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,porous|porosity|osmolarity|increased osmolarity,,soil|enriched soil|salt contaminated soil|contaminated soil,,pedosphere|clay|sand|silt|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,pedosphere|clay|sand|silt|salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,pedosphere,,,,
