class,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002179,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|intertidal sediment,,,,,,,,,
ENVO_00002180,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,aromatic compound|organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|naphthalenes|ortho-fused bicyclic hydrocarbon|ortho-fused bicyclic arene,organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,porous|porosity|granular,,sediment|naphthalene enriched sediment|organically enriched sediment|chemically contaminated sediment|chemically enriched sediment,,aromatic compound|organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|naphthalenes|ortho-fused bicyclic hydrocarbon|ortho-fused bicyclic arene,,organic aromatic compound|polycyclic hydrocarbon|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,,,,,
ENVO_00002182,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,aromatic compound|organic aromatic compound|benzenes,organic aromatic compound|benzenes|aromatic compound,porous|porosity|granular,,sediment|nitrobenzene enriched sediment|organically enriched sediment|chemically enriched sediment,,aromatic compound|organic aromatic compound|benzenes,,organic aromatic compound|benzenes|aromatic compound,,,,,
ENVO_00002186,,,,,,,,,,,,,,,,,liquid water|contaminated water,,,,,,,,,
ENVO_00002191,,,,,,,,,,,,,,,,,animal litter,,,,,,,,,
ENVO_00002192,,,,,,,,,,,,,,,,,animal litter|poultry litter,,,,,,,,,
ENVO_00002193,,waste role,,,,,,,,waste role,,,,,,waste role,liquid water|waste material|waste water|contaminated water|pulp-bleaching waste water,,,,,,,,,
ENVO_00002194,,,,,,,,,,,,,,,,,liquid water|oil field production water,,,,,,,,,
ENVO_00002200,,,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,,,,,,,,sea ice|water ice|ice,,,freezing of water into water ice|freezing,,,,freezing|freezing of water into water ice,,
ENVO_00002201,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|cis-dichloroethane contaminated sediment|organically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|organically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002203,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|inorganically enriched sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002206,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|coal mine waste material|industrial waste material,,coal mine|construction|mine|human construction|technosphere,,coal mine|construction|mine|human construction|technosphere,coal mine|construction|mine|human construction|technosphere,,,,
ENVO_00002207,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|coal mine waste material|industrial waste material|self-heating coal mine waste material,,coal mine|construction|mine|human construction|technosphere,,coal mine|construction|mine|human construction|technosphere,coal mine|construction|mine|human construction|technosphere,,,,
ENVO_00002209,lake|saline water body|saline lake,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|saline lake sediment|lake sediment,,lake|saline water body|saline lake,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_00002212,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|thermophilic granular sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002223,,decreased quality|decreased concentration,,,,,,,,decreased quality|decreased concentration,,,,,decreased quality|decreased concentration,,liquid water|oligotrophic water,,,,,,,,,
ENVO_00002224,,,,,,,,,,,,,,,,,liquid water|eutrophic water,,,,,,,,,
ENVO_00002225,,,,,,,,,,,,,,,,,liquid water|mesotrophic water,,,,,,,,,
ENVO_00002228,,,,,,,,,,,,,,,,,liquid water|fresh water|pond water,,hydrosphere|pond,,hydrosphere|pond,hydrosphere|pond,,,,
ENVO_00002229,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|arenosol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002230,,porous|porosity,,,,,,,anthropisation|anthropogenic environmental process,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|anthrosol,,pedosphere|sand|clay|silt,anthropisation|anthropogenic environmental process,pedosphere|clay|sand|silt,pedosphere,,anthropisation|anthropogenic environmental process,,
ENVO_00002231,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|alisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002232,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|andosol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002233,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|albeluvisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002234,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|acrisol|ultisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002235,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|cambisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
