class	acts upstream of or within	adjacent to	bearer of	capable of	capable of part of	causal agent in process	causal relation between entities	causal relation between material entity and a process	causally influenced by	causally related to	composed primarily of	contained in	contains process	continuous with	derives from	derives from part of	derives into	determined by	determined by part of	device utilizes material	formed as result of	functionally related to	generates	has characteristic	has component	has function	has increased levels of	has part	has quality	has role	http://www.w3.org/2000/01/rdf-schema#subClassOf	involved in	involved in or involved in regulation of	located in	location of	mereotopologically related to	obsolete contained in	output of	overlaps	part of	part of structure that is capable of	partially overlaps	partially surrounded by	participates in	spatially disjoint from	surrounded by
ENVO_00000001																												cave wall|cave floor			bedding-plane cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000002																															anthropogenic geographic feature															
ENVO_00000003																															mine tailing															
ENVO_00000004																															administrative region|fiat part of an astronomical object															
ENVO_00000005																															administrative region|first-order administrative region|fiat part of an astronomical object					national geopolitical entity|political entity			national geopolitical entity|political entity	national geopolitical entity|political entity						
ENVO_00000006																															administrative region|second-order administrative region|fiat part of an astronomical object					administrative region|national geopolitical entity|political entity|first-order administrative region|fiat part of an astronomical object			administrative region|national geopolitical entity|political entity|first-order administrative region|fiat part of an astronomical object	administrative region|first-order administrative region|national geopolitical entity|political entity|fiat part of an astronomical object						
ENVO_00000007																															administrative region|third-order administrative region|fiat part of an astronomical object					administrative region|national geopolitical entity|second-order administrative region|first-order administrative region|political entity|fiat part of an astronomical object			administrative region|national geopolitical entity|second-order administrative region|political entity|first-order administrative region|fiat part of an astronomical object	administrative region|first-order administrative region|national geopolitical entity|second-order administrative region|political entity|fiat part of an astronomical object						
ENVO_00000008																															administrative region|fiat part of an astronomical object|fourth-order administrative region					administrative region|national geopolitical entity|second-order administrative region|third-order administrative region|first-order administrative region|political entity|fiat part of an astronomical object			administrative region|national geopolitical entity|second-order administrative region|third-order administrative region|political entity|first-order administrative region|fiat part of an astronomical object	administrative region|first-order administrative region|national geopolitical entity|second-order administrative region|third-order administrative region|political entity|fiat part of an astronomical object						
ENVO_00000009																												administrative region|fiat part of an astronomical object			national geopolitical entity|political entity					administrative region|fiat part of an astronomical object			administrative region|fiat part of an astronomical object							
ENVO_00000010																															transport feature													usage of an environment for transportation		
ENVO_00000011																															garden|anthropogenic geographic feature															
ENVO_00000013																												cave floor|cave wall			cave system					cave floor|cave wall			cave floor|cave wall							
ENVO_00000014																															canal															
ENVO_00000015																															ocean															
ENVO_00000016																															sea															
ENVO_00000017																															saline hydrographic feature															
ENVO_00000019																															saline lake															
ENVO_00000021																															freshwater lake															
ENVO_00000022		bank|stream bank|river bank												stream channel|river channel																	river					bank|stream channel|river channel|stream bank|river bank									bank|stream bank|river bank	
ENVO_00000023														stream channel																						stream channel										
ENVO_00000025																															reservoir|artificial lake															
ENVO_00000026																															anthropogenic geographic feature|well															
ENVO_00000027																															spring															
ENVO_00000028				material extraction process	material extraction process	material extraction process		material extraction process		material extraction process												material extraction process									mine|open-pit mine|sand pit quarry|quarry													mining		
ENVO_00000030																												cave floor|cave wall			dead cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000031																															wadi|valley|geographic basin					planetary crust			planetary crust							
ENVO_00000032																															coastal inlet|inlet|bay												sea coast			
ENVO_00000033																															pond															
ENVO_00000034																															rapids															
ENVO_00000035																															marsh															
ENVO_00000036																															irrigation canal|canal															
ENVO_00000037																												bank			artificial channel|ditch					bank			bank							
ENVO_00000038		shore																													lagoon					shore|coastal wetland ecosystem			coastal wetland ecosystem	coastal wetland ecosystem					shore	
ENVO_00000039																					glacial process|glacial erosion process	glacial process|glacial erosion process									coastal inlet|inlet|fjord							glacial process|glacial erosion process					sea coast	glacial process|glacial erosion process		
ENVO_00000040																															waterfall															
ENVO_00000041													tidal flow process|mass fluid flow|mass liquid flow|advective transport process																		tidal creek|tidal watercourse															
