class	acts upstream of or within	adjacent to	bearer of	capable of	capable of part of	causal agent in process	causal relation between entities	causal relation between material entity and a process	causally influenced by	causally related to	composed primarily of	contained in	contains process	continuous with	derives from	derives from part of	derives into	determined by	determined by part of	device utilizes material	formed as result of	functionally related to	generates	has characteristic	has component	has function	has increased levels of	has part	has quality	has role	http://www.w3.org/2000/01/rdf-schema#subClassOf	involved in	involved in or involved in regulation of	located in	location of	mereotopologically related to	obsolete contained in	output of	overlaps	part of	part of structure that is capable of	partially overlaps	partially surrounded by	participates in	spatially disjoint from	surrounded by
ENVO_00000042																															drainage canal|canal															
ENVO_00000043																															wetland area															
ENVO_00000044											histosol|peat soil																	histosol|peat soil			peatland					histosol|peat soil			histosol|peat soil							
ENVO_00000045																															estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000046																															anthropogenic geographic feature|hedge															
ENVO_00000048																															navigation canal|canal															
ENVO_00000050																															spring|geyser|hot spring															
ENVO_00000051																															spring|hot spring															
ENVO_00000052																															volcanic crater lake|crater lake			volcanic crater|crater												
ENVO_00000053																															freshwater marsh|marsh															
ENVO_00000054																															saline marsh|marsh															
ENVO_00000055																															pond|saline evaporation pond															
ENVO_00000056																															fishpond															
ENVO_00000057																															coastal wetland ecosystem|mangrove swamp					sea coast			sea coast							
ENVO_00000058																															underground lake|underground water body															
ENVO_00000059		bank|stream bank|river bank												stream channel|river channel																	river|underground river|underground stream|underground water body					bank|stream channel|river channel|stream bank|river bank									bank|stream bank|river bank	
ENVO_00000060														stream channel																	underground stream|underground water body					stream channel										
ENVO_00000061																															underground water body															
ENVO_00000062																															populated place															
ENVO_00000064																															road|transport feature|constructed pavement													usage of an environment for transportation		
ENVO_00000065																															transport feature|railway													usage of an environment for transportation		
ENVO_00000066																															channel|man-made tunnel|tunnel															
ENVO_00000067																												cave wall|cave floor								cave floor|cave wall			cave floor|cave wall							
ENVO_00000068																															channel|tunnel															
ENVO_00000069														stream channel																	distributary					stream channel										
ENVO_00000071																												cave wall|cave floor			fault cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000072																															aquaduct|canal															
ENVO_00000074																															dam|constructed barrier															
ENVO_00000075																															transport feature|bridge													usage of an environment for transportation		
ENVO_00000076																															mine													mining		
ENVO_00000077																															agricultural ecosystem															
ENVO_00000078																															farm|agricultural ecosystem															
ENVO_00000079																															flume|canal															
ENVO_00000080																												mountain|mount			mountain range|range of mounts|field					mountain|mount			mountain|mount							
ENVO_00000081																															mountain|mount															
ENVO_00000082																												mount|hill			range of mounts|field|hill range					mount|hill			mount|hill							
ENVO_00000083																															mount|hill															
ENVO_00000084																															mountain pass					mountain range|range of mounts|field			mountain range|range of mounts|field	mountain range|range of mounts|field						
ENVO_00000086																															plain															
ENVO_00000087																															cliff															
ENVO_00000088		sea																													cliff|sea cliff					sea coast|sea			sea coast						sea	
ENVO_00000089																															cliff|inland cliff															
ENVO_00000090																															plain|coastal plain					sea coast			sea coast							
ENVO_00000091																															beach					shore			shore	shore						
ENVO_00000092																															beach|sea beach					sea shore|shore			sea shore|shore	sea shore|shore						
ENVO_00000093																															beach|lacustrine beach					lake shore|shore			shore|lake shore	shore|lake shore						
ENVO_00000094																															volcanic feature															
ENVO_00000096																															caldera|crater															
ENVO_00000097		atmospheric boundary layer|boundary layer	arid																					arid					arid		desert area|area of barren land					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_00000098																															island															
ENVO_00000099																															island|artificial island															
ENVO_00000100																															valley|geographic basin					planetary crust			planetary crust							
ENVO_00000101																															delta|stream mouth|river mouth|mouth					river			river	river						
ENVO_00000103																												coastal wetland ecosystem|mangrove swamp			island|mangrove island					sea coast|coastal wetland ecosystem|mangrove swamp			sea coast|coastal wetland ecosystem|mangrove swamp							
ENVO_00000104																															undersea feature															
ENVO_00000105																															fluid surface layer|liquid surface layer|liquid air-water interface layer|lake surface															
ENVO_00000106																															grassland area					grassland ecosystem			grassland ecosystem							
ENVO_00000107																															heath															
ENVO_00000108																															meadow ecosystem|grassland ecosystem															
ENVO_00000109																															woodland area															
ENVO_00000110																												cave floor|cave wall			volcanic cave|primary cave|lava tunnel					cave floor|cave wall			cave floor|cave wall							
ENVO_00000111																															forested area|woodland area															
ENVO_00000112			tundra climatic condition																					tundra climatic condition					tundra climatic condition		area of tundra					tundra biome|tundra ecosystem|ecotone|tree line ecotone			tundra biome|tundra ecosystem|ecotone|tree line ecotone	tundra biome|tundra ecosystem		ecotone|tree line ecotone				
ENVO_00000114																															field|agricultural field															
ENVO_00000115																															farm|agricultural ecosystem|orchard|plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000116																															farm|agricultural ecosystem|plantation|vineyard					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000117																															farm|agricultural ecosystem|plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000118																															farm|agricultural ecosystem|plantation|coconut plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000119																															planted forest															
ENVO_00000120																															farm|agricultural ecosystem|plantation|oil palm plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000121																												bank			artificial channel					bank			bank							
ENVO_00000122																															road|transport feature|constructed pavement|track													usage of an environment for transportation		
ENVO_00000123																												administrative region|fiat part of an astronomical object			political entity					administrative region|fiat part of an astronomical object			administrative region|fiat part of an astronomical object							
ENVO_00000124																												administrative region|fiat part of an astronomical object			political entity|supranational geopolitical entity					administrative region|fiat part of an astronomical object			administrative region|fiat part of an astronomical object							
ENVO_00000125																															spring|mineral spring															
ENVO_00000126																															spring|mineral spring|sulfur spring															
ENVO_00000127			arid																					arid					arid		badland															
ENVO_00000128																															dry valley|valley|geographic basin					planetary crust			planetary crust							
ENVO_00000129																															valley|geographic basin|stream valley					planetary crust			planetary crust							
ENVO_00000130																															reef|rocky reef															
ENVO_00000134																															permafrost															
ENVO_00000135																															administrative region|fiat part of an astronomical object|buffer zone															
ENVO_00000136																															administrative region|fiat part of an astronomical object|buffer zone|demilitarized zone															
ENVO_00000137																															coastal inlet|inlet												sea coast			
ENVO_00000138																															coastal inlet|inlet|cove												sea coast			
ENVO_00000139																												bank			artificial channel|ditch|irrigation ditch					bank			bank							
ENVO_00000140																												bank			artificial channel|ditch|drainage ditch					bank			bank							
ENVO_00000141																															bank															
ENVO_00000142																															bank|stream bank															
ENVO_00000143																															bank|stream bank|river bank															
ENVO_00000146																												snow|crystal|water ice crystal|snow crystal			field|snow field					snow|water ice crystal|crystal|snow crystal			snow|crystal|water ice crystal|snow crystal							
ENVO_00000147																															ocean current|marine current|water current					ocean			ocean	ocean						
ENVO_00000148																															riffle															
ENVO_00000149																															reef|artificial reef															
ENVO_00000150																															coral reef|marine reef|reef															
ENVO_00000151																															sabkha|alkaline flat|dry lake bed					dry lake			dry lake	dry lake						
ENVO_00000152														stream channel																	anabranch					stream channel										
ENVO_00000153																												structural basin			headwater					structural basin			structural basin							
ENVO_00000154																															meadow ecosystem|grassland ecosystem|wet meadow ecosystem|flood meadow ecosystem															
ENVO_00000155																					glacial process|glacial erosion process	glacial process|glacial erosion process									valley|geographic basin|glacial valley|cirque					planetary crust		glacial process|glacial erosion process	planetary crust					glacial process|glacial erosion process		
ENVO_00000156																															oasis|desert oasis					desert area|area of barren land|spring			desert area|area of barren land|spring	desert area|area of barren land						
ENVO_00000157																															peat cut					peatland			peatland							
ENVO_00000158																															transport feature|causeway													usage of an environment for transportation		
ENVO_00000159																															farm|agricultural ecosystem|plantation|sugar plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000160																															farm|agricultural ecosystem|plantation|sisal plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000161																															farm|agricultural ecosystem|plantation|banana plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000162																															farm|agricultural ecosystem|plantation|tea plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000163																															farm|agricultural ecosystem|plantation|coffee plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000164																															farm|agricultural ecosystem|plantation|rubber plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000165																															asphalt lake															
ENVO_00000166																															island|oceanic island|atoll															
ENVO_00000167																															bar															
ENVO_00000168																															blowhole					sea coast			sea coast							
ENVO_00000169																															valley|geographic basin|canyon					planetary crust			planetary crust							
ENVO_00000170																					aeolian transport process	aeolian transport process									mount|hill|dune							aeolian transport process						aeolian transport process		
ENVO_00000171																												river			valley|geographic basin|river valley|stream valley					river|planetary crust			river|planetary crust							
ENVO_00000172		atmospheric boundary layer|boundary layer	arid																					arid					arid		desert area|area of barren land|sandy desert					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_00000173		atmospheric boundary layer|boundary layer	arid																					arid					arid		desert area|area of barren land|rocky desert					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_00000174																															isthmus															
ENVO_00000175																					bedrock dissolution	bedrock dissolution						limestone cave|solutional cave|cave floor|cave wall			karst					limestone cave|solutional cave|cave floor|cave wall		bedrock dissolution	limestone cave|solutional cave|cave floor|cave wall					bedrock dissolution		
ENVO_00000177																					glacial process|glacial erosion process	glacial process|glacial erosion process									moraine							glacial process|glacial erosion process						glacial process|glacial erosion process		
ENVO_00000178																															levee															
ENVO_00000179																															flattened elevation|mesa															
ENVO_00000180																															mount|mound															
ENVO_00000181		glacier|mass of compounded environmental materials																													peak|nunatak					glacier|mass of compounded environmental materials									glacier|mass of compounded environmental materials	
ENVO_00000182																															flattened elevation|plateau															
ENVO_00000183		atmospheric boundary layer|boundary layer	arid																					arid					arid		desert area|area of barren land|stony desert					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_00000184																															valley|geographic basin|glacial valley|hanging valley					planetary crust			planetary crust							
ENVO_00000185											histosol|peat soil																	histosol|peat soil			peatland|raised mire					histosol|peat soil			histosol|peat soil							
ENVO_00000186											histosol|peat soil																	histosol|peat soil			peatland|string mire					histosol|peat soil|hummock			histosol|peat soil|hummock							
ENVO_00000187											histosol|peat soil																	histosol|peat soil			peatland|tundra mire					tundra ecosystem|permafrost|histosol|peat soil			tundra ecosystem|permafrost|histosol|peat soil							
ENVO_00000188											histosol|peat soil																	histosol|peat soil			peatland|palsa mire					histosol|peat soil|palsa|frost heave			histosol|peat soil|palsa|frost heave							
ENVO_00000189											histosol|peat soil																	histosol|peat soil			peatland|peat swamp					histosol|peat soil			histosol|peat soil							
ENVO_00000190																															undersea feature|abyssal feature															
ENVO_00000192																															coastal wetland ecosystem|mudflat					sea coast			sea coast							
ENVO_00000193																															farm|agricultural ecosystem|plantation|olive grove					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000194																												piece of rock			scree					piece of rock			piece of rock							
ENVO_00000195																															sinkhole															
ENVO_00000196																															alkaline flat|dry lake bed					dry lake			dry lake	dry lake						
ENVO_00000197		endorheic basin|drainage basin																													endorheic lake					endorheic basin|drainage basin									endorheic basin|drainage basin	
ENVO_00000198											meltwater										glacial process|glacial erosion process	glacial process|glacial erosion process						meltwater			glacial lake|ice-covered lake					meltwater		glacial process|glacial erosion process	meltwater					glacial process|glacial erosion process		
ENVO_00000199																															meromictic lake															
ENVO_00000200											meltwater										glacial process|glacial erosion process	glacial process|glacial erosion process						meltwater			glacial lake|periglacial lake					meltwater		glacial process|glacial erosion process	meltwater					glacial process|glacial erosion process		
ENVO_00000201																															fjord lake			coastal inlet|inlet|fjord												
ENVO_00000202																															oxbow lake															
ENVO_00000203																					tectonic movement|divergent tectonic movement	tectonic movement|divergent tectonic movement									tectonic lake|rift lake							tectonic movement|divergent tectonic movement						tectonic movement|divergent tectonic movement		
ENVO_00000204																															spring|ephemeral spring															
ENVO_00000205																															spring|permanent spring															
ENVO_00000206																															marine layer|marine neritic zone															
ENVO_00000207																															marine layer|oceanic zone					ocean			ocean	ocean						
ENVO_00000208																															marine layer|marine pelagic zone															
ENVO_00000209																															marine layer|marine photic zone					planetary photic zone			planetary photic zone	planetary photic zone						
ENVO_00000210																															marine layer|marine aphotic zone															
ENVO_00000211																															marine layer|marine aphotic zone|marine bathypelagic zone															
ENVO_00000212																															marine layer|marine aphotic zone|marine abyssalpelagic zone															
ENVO_00000213																															marine layer|marine aphotic zone|marine mesopelagic zone															
ENVO_00000214																															marine layer|marine aphotic zone|hadalpelagic zone															
ENVO_00000215																															spring|hydrothermal vent															
ENVO_00000216																															geological fracture|fumarole															
ENVO_00000217																															geological fracture|fumarole|solfatara															
ENVO_00000218																															spring|marine hydrothermal vent|hydrothermal vent|black smoker			aquatic biome|marine biome|marine ecosystem												
ENVO_00000219																															sea|landlocked sea															
ENVO_00000220																												island			archipelago					island			island							
ENVO_00000221																															island|continental island					continental shelf|sea floor|continental margin|marine bed			continental shelf|sea floor|continental margin|marine bed	continental shelf|sea floor|continental margin|marine bed						
ENVO_00000222																															island|oceanic island															
ENVO_00000223		continental slope																													continental shelf					sea floor|continental margin|marine bed|planetary crust|continental slope|continental crust			sea floor|continental margin|marine bed|planetary crust|continental crust	sea floor|continental margin|marine bed					continental slope	
ENVO_00000224																															estuary|slightly stratified estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000225																															estuary|highly stratified estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000226																															estuary|saline wedge estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000228																															estuary|inverse estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000229																															estuary|intermittent estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00000230																															coastal wetland ecosystem					sea coast			sea coast							
ENVO_00000231																															moor|freshwater wetland ecosystem															
ENVO_00000232											histosol|peat soil																	histosol|peat soil|groundwater|alkaline water|underground water			peatland|fen					groundwater|alkaline water|histosol|peat soil|underground water			groundwater|alkaline water|histosol|peat soil|underground water							
ENVO_00000233																															swamp ecosystem															
ENVO_00000234														stream channel																	bayou					stream channel										
ENVO_00000235											histosol|peat soil																	histosol|peat soil|groundwater|alkaline water|underground water			peatland|fen|carr					groundwater|alkaline water|histosol|peat soil|underground water			groundwater|alkaline water|histosol|peat soil|underground water							
ENVO_00000236																															dambo|freshwater wetland ecosystem															
ENVO_00000237																															hydromorphic/phreatic dambo|dambo|freshwater wetland ecosystem															
ENVO_00000238																															fluvial dambo|dambo|freshwater wetland ecosystem															
ENVO_00000239																															pocasin|freshwater wetland ecosystem															
ENVO_00000240																															saline wetland															
ENVO_00000241																															coastal wetland ecosystem|mudflat|tidal mudflat					sea coast			sea coast							
ENVO_00000242																															coastal wetland ecosystem|mudflat|lacustrine mudflat					sea coast			sea coast							
ENVO_00000243																															freshwater wetland ecosystem															
ENVO_00000244														marine bed|ocean floor																	plain|abyssal plain					marine bed|ocean floor										
ENVO_00000245																															crater|maar															
ENVO_00000246																															volcanic crater|crater															
ENVO_00000247																															geological fracture|volcano															
ENVO_00000248																															valley|geographic basin|glacial valley					planetary crust			planetary crust							
ENVO_00000249																					glacial process|glacial erosion process	glacial process|glacial erosion process									lateral moraine|moraine							glacial process|glacial erosion process						glacial process|glacial erosion process		
ENVO_00000250																					glacial process|glacial erosion process	glacial process|glacial erosion process									medial moraine|moraine							glacial process|glacial erosion process						glacial process|glacial erosion process		
ENVO_00000251																					glacial process|glacial erosion process	glacial process|glacial erosion process									ground moraine|moraine							glacial process|glacial erosion process						glacial process|glacial erosion process		
ENVO_00000252																					glacial process|glacial erosion process	glacial process|glacial erosion process									moraine|terminal moraine							glacial process|glacial erosion process						glacial process|glacial erosion process		
ENVO_00000253																															plain|scroll plane															
ENVO_00000254																															plain|till plain															
ENVO_00000255																															plain|flood plain															
ENVO_00000256																															floodway					plain|flood plain			plain|flood plain	plain|flood plain						
ENVO_00000257																															field|flood fringe					plain|flood plain			plain|flood plain	plain|flood plain			flood			
ENVO_00000258		range of mounts|field									alluvial soil																	alluvial soil			plain|alluvial plain					range of mounts|field|alluvial soil			alluvial soil						range of mounts|field	
ENVO_00000259																															plain|lacustrine plain															
ENVO_00000260																															grassland area|prairie					grassland ecosystem			grassland ecosystem							
ENVO_00000261																															savanna|grassland area					grassland ecosystem			grassland ecosystem							
ENVO_00000262																															steppe|grassland area					grassland ecosystem			grassland ecosystem							
ENVO_00000263														geological fracture														cave floor|cave wall			fissure cave					cave floor|cave wall|geological fracture			cave floor|cave wall							
ENVO_00000264		planetary crust																													mountain|mount|seamount					planetary crust									planetary crust	planetary crust
ENVO_00000265		planetary crust																										peak			mountain|mount|seamount|guyot					planetary crust|peak			peak						planetary crust	planetary crust
ENVO_00000266																															agricultural ecosystem|grassland ecosystem|pasture					farm|agricultural ecosystem			farm|agricultural ecosystem	farm|agricultural ecosystem				agricultural process		
ENVO_00000267		marine bed																													valley|geographic basin|canyon|submarine canyon					marine bed|planetary crust			planetary crust						marine bed	
ENVO_00000268																															lake bed															
ENVO_00000269																															island|land-tied island|continental island					continental shelf|sea floor|continental margin|marine bed			continental shelf|sea floor|continental margin|marine bed	continental shelf|sea floor|continental margin|marine bed						
ENVO_00000270																															pond|beaver pond															
ENVO_00000271																															alkaline flat|chott|dry lake bed					dry lake			dry lake	dry lake						
ENVO_00000272																															confluence															
ENVO_00000273		continental shelf																													continental slope					continental shelf|sea floor|continental margin|marine bed			sea floor|continental margin|marine bed	sea floor|continental margin|marine bed					continental shelf	
ENVO_00000274		plain|abyssal plain|continental slope																													continental rise					plain|sea floor|continental margin|marine bed|abyssal plain|continental slope			sea floor|continental margin|marine bed	sea floor|continental margin|marine bed					plain|abyssal plain|continental slope	
ENVO_00000275		ocean																													trench|ocean trench					ocean|marine bed			marine bed	marine bed					ocean	
ENVO_00000276																															mount|hill|drumlin															
ENVO_00000277																															dry lake															
ENVO_00000278																												bank			dry stream					bank			bank							
ENVO_00000279																															saline pan|dry lake bed					dry lake			dry lake	dry lake						
ENVO_00000280											sedimentary rock																	sedimentary rock			escarpment					sedimentary rock			sedimentary rock							
ENVO_00000281											sedimentary rock										tectonic movement	tectonic movement						sedimentary rock			escarpment|fault escarpment					sedimentary rock		tectonic movement	sedimentary rock					tectonic movement		
ENVO_00000282																															ridge|esker															
ENVO_00000283																															ridge															
ENVO_00000284				material extraction process	material extraction process	material extraction process		material extraction process		material extraction process												material extraction process									mine|open-pit mine|quarry													mining		
ENVO_00000285											quicksand																	quicksand			quicksand bed					quicksand			quicksand							
ENVO_00000286																															polder															
ENVO_00000287																															flattened elevation|butte															
ENVO_00000288																															farm|agricultural ecosystem|plantation|cotton plantation					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000289																															horst															
ENVO_00000290																															graben															
ENVO_00000291																															drainage basin															
ENVO_00000292																															watershed															
ENVO_00000293																															watershed|continental divide															
ENVO_00000294																															agricultural ecosystem|fish farm															
ENVO_00000295																												agricultural ecosystem			hatchery|fish hatchery					agricultural ecosystem			agricultural ecosystem							
ENVO_00000296																															farm|agricultural ecosystem|plantation|rice field					cropland biome|cropland ecosystem			cropland biome|cropland ecosystem	cropland biome|cropland ecosystem						
ENVO_00000297																															field|agricultural field|paddy field															
ENVO_00000299																															field|cryoform|ice field															
ENVO_00000300																															scrubland area															
ENVO_00000301			subtropical|mediterranean																					subtropical|mediterranean					mediterranean|subtropical		scrubland area|chaparral area															
ENVO_00000302																					tectonic movement|divergent tectonic movement	tectonic movement|divergent tectonic movement									valley|geographic basin|rift valley					planetary crust		tectonic movement|divergent tectonic movement	planetary crust					tectonic movement|divergent tectonic movement		
ENVO_00000303																															sea coast															
ENVO_00000304																															shore															
ENVO_00000305																															part of a landmass|peninsula															
ENVO_00000306																															bar|spit															
ENVO_00000308																															valley|geographic basin|dune slack					planetary crust			planetary crust							
ENVO_00000310																					impact between astronomical bodies|meterorite impact|impact event|energy transfer process	meterorite impact|impact between astronomical bodies|impact event|energy transfer process									meteor impact crater|crater|impact crater							impact between astronomical bodies|meterorite impact|impact event|energy transfer process						meterorite impact|impact between astronomical bodies|impact event|energy transfer process		
ENVO_00000311																															kettle					plain|sandur			plain|sandur	plain|sandur						
ENVO_00000312																															plain|sandur															
ENVO_00000313																															blowout															
ENVO_00000314		plain|alluvial plain									alluvial soil											depositional process						alluvial soil			alluvial fan					plain|alluvial soil|alluvial plain		depositional process	alluvial soil					depositional process	plain|alluvial plain	
ENVO_00000315		plain|alluvial plain									alluvial soil											depositional process						alluvial soil			alluvial fan|bajada					plain|alluvial soil|alluvial plain		depositional process	alluvial soil					depositional process	plain|alluvial plain	
ENVO_00000316																															intertidal zone|marine environmental zone					shore|coastal wetland ecosystem|intertidal ecosystem			coastal wetland ecosystem|shore|intertidal ecosystem	shore						
ENVO_00000317												shore																			tidal pool			shore|intertidal zone|marine environmental zone			shore									
ENVO_00000318																															marine environmental zone|high tide zone					shore|intertidal zone|marine environmental zone			shore|intertidal zone|marine environmental zone	shore|intertidal zone|marine environmental zone						
ENVO_00000319																															marine environmental zone|low tide zone					shore|intertidal zone|marine environmental zone			shore|intertidal zone|marine environmental zone	shore|intertidal zone|marine environmental zone						
ENVO_00000320																															geological fracture|crevasse															
ENVO_00000321																												cave floor|cave wall			joint-plane cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000322																												cave floor|cave wall			volcanic cave|primary cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000323																												cave floor|cave wall			live cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000324																												cave floor|cave wall			outflow cave					cave floor|cave wall			cave wall|cave floor							
ENVO_00000325																															polje															
ENVO_00000326																												cave floor|cave wall			sea cave					cave floor|cave wall			cave floor|cave wall							
ENVO_00000327																															speleothem|mineral deposit															
ENVO_00000328		phreatic zone																										groundwater|underground water			vadose zone					groundwater|phreatic zone|underground water			groundwater|underground water						phreatic zone	
ENVO_00000329																												groundwater|underground water			phreatic zone					groundwater|underground water			groundwater|underground water							
ENVO_00000330																															speleothem|stalagmite|mineral deposit															
ENVO_00000331																															speleothem|stalactite|mineral deposit															
ENVO_00000332																															subsurface landform|doline					karst			karst	karst						
ENVO_00000333																					bedrock dissolution	bedrock dissolution						limestone cave|solutional cave|cave floor|cave wall			karst|subjacent karst					limestone cave|solutional cave|cave floor|cave wall		bedrock dissolution	limestone cave|solutional cave|cave floor|cave wall					bedrock dissolution		
ENVO_00000334																					bedrock dissolution	bedrock dissolution						limestone cave|solutional cave|cave floor|cave wall			karst|syngenetic karst					limestone cave|solutional cave|cave floor|cave wall		bedrock dissolution	limestone cave|solutional cave|cave floor|cave wall					bedrock dissolution		
ENVO_00000335																					bedrock dissolution	bedrock dissolution						limestone cave|solutional cave|cave floor|cave wall			karst|polygonal karst					limestone cave|solutional cave|cave floor|cave wall		bedrock dissolution	limestone cave|solutional cave|cave floor|cave wall					bedrock dissolution		
ENVO_00000336																					bedrock dissolution	bedrock dissolution						limestone cave|solutional cave|cave floor|subsurface landform|cave wall|doline			karst|doline karst					karst|limestone cave|solutional cave|cave floor|subsurface landform|cave wall|doline		bedrock dissolution	karst|limestone cave|solutional cave|cave floor|subsurface landform|cave wall|doline					bedrock dissolution		
ENVO_00000338																															bodily fluid material|vomit material															
