class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002254,vertisol,,,"A soil in which there is a high content of expansive clay known as montmorillonite that forms deep cracks in drier seasons or years. Alternate shrinking and swelling causes self-mulching, where the soil material consistently mixes itself, causing vertisols to have an extremely deep A horizon and no B horizon.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|vertisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002255,solonetz,,,"Solonetz are soils with a dense, strongly structured, clayey subsurface horizon that has a high proportion of adsorbed Na and/or Mg ions. Solonetz that contain free soda (Na2CO3) are strongly alkaline (field pH > 8.5).",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|solonetz,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002256,regosol,,,"Regosols form a taxonomic remnant group containing all soils that could not be accommodated in any of the other RSGs. In practice, Regosols are very weakly developed mineral soils in unconsolidated materials that do not have a mollic or umbric horizon, are not very shallow or very rich in gravels (Leptosols), sandy (Arenosols) or with fluvic materials (Fluvisols). Regosols are extensive in eroding lands, particularly in arid and semi-arid areas and in mountainous terrain.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|regosol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002257,podzol,,,"Podzols are soils with a typically ash-grey upper subsurface horizon, bleached by loss of organic matter and iron oxides, on top of a dark accumulation horizon with brown, reddish or black illuviated humus and/or reddish Fe compounds. Podzols occur in humid areas in the boreal and temperate zones and locally also in the tropics.",,,podsol,,podosolic soil,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|podzol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002258,loam,,"Some authorities consider loam to be any soil material that contains 7 to 27% clay, 28 to 50% silt, and less than 52% sand.","A soil which is composed of approximately equal proportions of sand and silt, with a smaller proportion of clay.",,,,,,,,ENVO_00001998,,porous|porosity|soil texture,,,,,,,,porous|porosity|soil texture,,,,sand|clay|silt,porous|porosity,,soil|loam,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002259,agricultural soil,,,Soil which is part of an ecosystem used for agricultural activities.,,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|agricultural soil,,agricultural ecosystem|anthropogenic environment|pedosphere|anthropised ecosystem|sand|clay|silt,,anthropogenic environment|agricultural ecosystem|pedosphere|anthropised ecosystem|clay|sand|silt,anthropogenic environment|agricultural ecosystem|pedosphere|anthropised ecosystem,,,,
ENVO_00002260,dune soil,,,Soil which is part of some dune.,,,,,,,,ENVO_00005786,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|upland soil|dune soil,,hill|dune|elevated landform|mount|landform|pedosphere|clay|sand|silt,,hill|dune|elevated landform|mount|landform|pedosphere|clay|sand|silt,dune|elevated landform|hill|mount|pedosphere|landform,,,,
ENVO_00002261,forest soil,,,A portion of soil which is found in a forested area.,,,,,,,,ENVO_00001998,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002262,clay soil,,,Soil which is primarily composed of clay.,,,,,,,,ENVO_00001998,,porous|porosity,clay,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|clay soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002263,garden soil,,,A portion of soil which is found in a garden.,,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|garden soil,anthropogenic geographic feature|garden,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,anthropogenic geographic feature|garden|pedosphere,,,,
ENVO_00002264,waste material,,,A material which is not the desired output of a process and which is typically the input of a process which removes it from its producer (e.g. a disposal process).,"This seems more like a role than a material. Anything can be waste. Thus, a ""waste"" role or disposition will be created and this class can then be populated by inference: any environmental material which has [role,disposition] waste will be considered a waste material.",,,,,,,ENVO_00010483,,waste role,,,,,,,,waste role,,,,,,waste role,waste material,,,,,,,,,
ENVO_00002266,chicken breeding waste material,,,,,chicken breeding waste,,,chicken yard waste,,,ENVO_01000371,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|chicken breeding waste material|agricultural waste material,,,,,,,,,
ENVO_00002267,industrial waste material,,,"Industrial wastes are liquid, solid and gaseous wastes originating from the manufacture of specific products.","This will become a defined class, with subclasses added through inference based on material having a 'waste role' and being associated with industrial entities.",industrial waste,,,,,,ENVO_00002264,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|industrial waste material,,,,,,,,,
ENVO_00002273,fluvisol,,,"Fluvisols accommodate genetically young, azonal soils in alluvial deposits.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|fluvisol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002274,stagnosol,,,"Stagnosols are soils with a perched water table showing redoximorphic features caused by surface water. Stagnosols are periodically wet and mottled in the topsoil and subsoil, with or without concretions and/or bleaching.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|stagnosol,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002275,technosol,,,"Technosols are soils whose properties and pedogenesis are dominated by their technical origin. They contain a significant amount of artefacts (something in the soil recognizably made or extracted from the earth by humans), or are sealed by technic hard rock (material created by humans, having properties unlike natural rock). They include soils from wastes (landfills, sludge, cinders, mine spoils and ashes), pavements with their underlying unconsolidated materials, soils with geomembranes and constructed soils in human-made materials.",,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|technosol,,technosphere|pedosphere|sand|clay|silt,,pedosphere|technosphere|clay|sand|silt,pedosphere|technosphere,,,,
ENVO_00002276,animal waste material,,,,"This will become a defined class, with subclasses added through inference based on material having a 'waste role' and being associated with animal metabolism.",animal waste,,,,,,ENVO_00002873,,waste role,waste material|organic waste material,,,,,,,waste role,,,,waste material|organic waste material,,waste role,waste material|animal waste material|organic waste material,,waste material|organic waste material,,waste material|organic waste material,,,,,
ENVO_00002869,hay,,,"Hay is grass, legumes or other herbaceous plants that have been cut, dried, and stored for use as animal fodder, particularly for grazing livestock such as cattle, horses, goats, and sheep.",,,,,,,,ENVO_0010003,,,,,,,,,anthropogenic environmental process,,,,,,,,hay,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002870,adobe,,,"A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure).",,,,,,,,ENVO_0010001; ENVO_01000814; ENVO_00003074,,,,,,,,,manufacturing process|anthropogenic environmental process,,,,,clay|sand,,,manufactured product|adobe,,sand|clay,manufacturing process|anthropogenic environmental process,clay|sand,,,manufacturing process|anthropogenic environmental process,,
ENVO_00002871,alluvial soil,,,Soil which has been eroded and influenced by flowing water and redeposited in a non-marine setting.,,,,,,,,ENVO_00001998,,porous|porosity,,,,,,water flow process|erosion,water flow process|erosion,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|alluvial soil,,pedosphere|clay|sand|silt,water flow process|erosion,pedosphere|clay|sand|silt,pedosphere,,water flow process|erosion,,
ENVO_00002872,bagasse,,,The biomass remaining after sugarcane stalks are crushed to extract their juice.,,,sugarcane bagasse,,,,,ENVO_00002264,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|bagasse,,,,,,,,,
ENVO_00002873,organic waste material,,,,This should probably be merged with biological waste material.,organic waste,,,,,,ENVO_01000373,,waste role,waste material|organic waste material,,,,,,,waste role,,,,waste material|organic waste material,,waste role,waste material|organic waste material,,waste material|organic waste material,,waste material|organic waste material,,,,,
ENVO_00002875,oil contaminated soil,,,Soil which has elevated concentrations of oil.,,,,,,,,ENVO_00002116,,porous|porosity,,,,,,,,porous|porosity,,,oil,clay|sand|silt|oil,porous|porosity,,soil|enriched soil|contaminated soil|oil contaminated soil,,pedosphere|sand|clay|silt|oil,,pedosphere|clay|sand|silt|oil,pedosphere,,,,
ENVO_00002982,clay,,"This definition is intentionally ambiguous to support the multiple thresholds set by different authorities.The distinction between silt and clay varies by discipline. Geologists and soil scientists usually consider the separation to occur at a particle size of 2 μm (clays being finer than silts), sedimentologists often use 4–5 μm, and colloid chemists use 1 μm. Geotechnical engineers distinguish between silts and clays based on the plasticity properties of the soil, as measured by the soils' Atterberg limits. ISO 14688 grades clay particles as being smaller than 2 μm and silt particles as being larger. Mixtures of sand, silt and less than 40% clay are called loam. Similar mixtures with greater than 40% clay are often considered clay soils.","Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.",Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,ENVO_01000060,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,clay,,,,,,,,,
ENVO_00002983,fuel oil,,"Oils having a flash point of approximately 42 degrees Celsius and oils burned in cotton or wool-wick burners are not typically considered fuel oils. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha.","An oil which 1) is liquid at room temperature (approximately 20 degrees Celsius) 2) is intended to be burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, 3) is obtained from petroleum distillation, either as a distillate or a residue, 4) composed of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics.",,,furnace oil; heavy oil; marine fuel,,,,,ENVO_00002985,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|fuel oil,,,,,,,,,
ENVO_00002984,petroleum,,,"A naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the planetary surfaces.",,,,,crude oil,,,ENVO_00002985,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|petroleum,,,,,,,,,
ENVO_00002985,oil,,,"A nonpolar, hydrophobic, and lipophilic material which is a viscous liquid at ambient temperatures (about 20 degrees Celsius) or slightly warmer.",,,,,,,,ENVO_01000815; ENVO_2000045,,fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel,oil,,,,,,,,,
ENVO_00003030,silage,,,"A fermented, high-moisture forage that can be fed to ruminants.",,,,,,,,ENVO_0010003,,,,,,,,,anthropogenic environmental process,,,,,,,,silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003031,animal manure,,"This is interesting in that the ""role"" aspect of ""waste"" is (or can be) replaced by another role ""fertilizer"". Thus, the positioning of ""manure"" under waste may not be totally correct.",Manure which is derived from the waste products of animals.,,,,,,,,ENVO_03501300,,,,,,,,,,,,,,,,,animal manure|manure,,,,,,,,,
ENVO_00003032,fresh animal manure,,,,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,fresh animal manure|animal manure|manure,,,,,,,,,
ENVO_00003033,mushroom compost,,,"A compost which generally consists of a combination of wheat straw, dried blood, horse manure and ground chalk, composted together and is the residual compost waste generated by industrial mushroom production.",,,,,,,,ENVO_00002170,,,,,,,,,,,,,,,,,mushroom compost|compost|manure,,,,,,,,,
ENVO_00003044,brine,,"It is used (now less popular than historically) to preserve vegetables, fish, and meat.",Water saturated or nearly saturated with salt (NaCl).,,,,,,,envoPolar,ENVO_00002012,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|hypersaline water|brine,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom,,,,,
ENVO_00003045,bacon curing brine,,,,,,,,,,,ENVO_00003044,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|hypersaline water|brine|bacon curing brine,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,,,,
ENVO_00003064,drinking water,,,Drinking water is water which may be consumed by humans with no adverse effects on their health.,,,potable water,,,,,ENVO_00002011,,,,,,,,,,,,,,,,,liquid water|fresh water|drinking water,,,,,,,,,
ENVO_00003065,distilled water,,,,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|distilled water,,,,,,,,,
ENVO_00003071,grass silage,,,,,,,,,,,ENVO_00003030,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|grass silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003081,metal contaminated soil,,,Soil which has elevated concentrations of metals.,,,,,,,,ENVO_00002116,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|enriched soil|metal contaminated soil|contaminated soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003082,enriched soil,,This could be demoted to an inferred class if issues with double inheritance arise.,A portion of enriched soil is a portion of soil with elevated levels of some material entity.,,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|enriched soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003083,sarcosine enriched soil,,,A portion of sarcosine enriched soil is a portion of soil with elevated levels of sarcosine.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,sand|clay|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,porous|porosity,,soil|sarcosine enriched soil|enriched soil,,pedosphere|sand|clay|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,,pedosphere|clay|sand|silt|organic acid|sarcosine|amino acid derivative|alpha-amino acid|amino acid|N-methylglycines|N-methyl-amino acid,pedosphere,,,,
ENVO_00003084,trimethylamine enriched soil,,,A portion of trimethylamine enriched soil is a portion of soil with elevated levels of trimethylamine.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,sand|clay|silt|tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,porous|porosity,,soil|trimethylamine enriched soil|enriched soil,,pedosphere|sand|clay|silt|tertiary amine|trimethylamine|amine|tertiary amino compound|methylamines,,pedosphere|clay|sand|silt|trimethylamine|tertiary amine|amine|tertiary amino compound|methylamines,pedosphere,,,,
ENVO_00003085,skatole enriched soil,,,A portion of skatole enriched soil is a portion of soil with elevated levels of skatole.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,aromatic compound|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|methylindole,sand|clay|silt|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|aromatic compound|methylindole,porous|porosity,,soil|skatole enriched soil|enriched soil,,pedosphere|sand|clay|silt|aromatic compound|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|methylindole,,pedosphere|clay|sand|silt|heteroarene|organic aromatic compound|skatole|benzopyrrole|indoles|aromatic compound|methylindole,pedosphere,,,,
ENVO_00003086,ethanol enriched soil,,,A portion of ethanol enriched soil is a portion of soil with elevated levels of ethanol.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,volatile organic compound|alcohol|ethanol|ethanols,sand|clay|silt|volatile organic compound|alcohol|ethanol|ethanols,porous|porosity,,soil|ethanol enriched soil|enriched soil,,pedosphere|sand|clay|silt|volatile organic compound|alcohol|ethanol|ethanols,,pedosphere|clay|sand|silt|volatile organic compound|alcohol|ethanol|ethanols,pedosphere,,,,
ENVO_00003087,acetamide enriched soil,,,A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,amide|acetamide|N-acylammonia|primary amide|acetamides,sand|clay|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,porous|porosity,,soil|acetamide enriched soil|enriched soil,,pedosphere|sand|clay|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,,pedosphere|clay|sand|silt|amide|acetamide|N-acylammonia|primary amide|acetamides,pedosphere,,,,
ENVO_00003088,pantothenate enriched soil,,,A portion of pantothenate enriched soil is a portion of soil with elevated levels of pantothenate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,pantothenate,sand|clay|silt|pantothenate,porous|porosity,,soil|pantothenate enriched soil|enriched soil,,pedosphere|sand|clay|silt|pantothenate,,pedosphere|clay|sand|silt|pantothenate,pedosphere,,,,
ENVO_00003089,testosterone enriched soil,,,A portion of testosterone enriched soil is a portion of soil with elevated levels of testosterone.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,"lipid|steroid|ketone|testosterone|C19-steroid|cyclic ketone|androstanoid|enone|alpha,beta-unsaturated ketone","sand|clay|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",porous|porosity,,soil|testosterone enriched soil|enriched soil,,"pedosphere|sand|clay|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",,"pedosphere|clay|sand|silt|lipid|steroid|ketone|testosterone|alpha,beta-unsaturated ketone|C19-steroid|cyclic ketone|androstanoid|enone",pedosphere,,,,
ENVO_00003090,kynurenate enriched soil,,,A portion of kynurenate enriched soil is a portion of soil with elevated levels of kynurenate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,kynurenate,sand|clay|silt|kynurenate,porous|porosity,,soil|kynurenate enriched soil|enriched soil,,pedosphere|sand|clay|silt|kynurenate,,pedosphere|clay|sand|silt|kynurenate,pedosphere,,,,
ENVO_00003091,threonine enriched soil,,,A portion of threonine enriched soil is a portion of soil with elevated levels of threonine.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,sand|clay|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,porous|porosity,,soil|threonine enriched soil|enriched soil,,pedosphere|sand|clay|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,,pedosphere|clay|sand|silt|organic acid|alpha-amino acid|amino acid|polar amino acid|threonine,pedosphere,,,,
ENVO_00003092,salicylate enriched soil,,,A portion of salicylate enriched soil is a portion of soil with elevated levels of salicylate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,salicylate,sand|clay|silt|salicylate,porous|porosity,,soil|salicylate enriched soil|enriched soil,,pedosphere|sand|clay|silt|salicylate,,pedosphere|clay|sand|silt|salicylate,pedosphere,,,,
ENVO_00003093,poly-beta-hydroxybutyrate enriched soil,,,A portion of poly-beta-hydroxybutyrate enriched soil is a portion of soil with elevated levels of poly-beta-hydroxybutyrate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,ester,sand|clay|silt|ester,porous|porosity,,soil|enriched soil,,pedosphere|sand|clay|silt|ester,,pedosphere|clay|sand|silt|ester,pedosphere,,,,
ENVO_00003094,L-(+)-tartrate enriched soil,,,A portion of L-(+)-tartrate enriched soil is a portion of soil with elevated levels of L-(+)-tartrate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|L-(+)-tartrate enriched soil|enriched soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00003095,quinate enriched soil,,,A portion of quinate enriched soil is a portion of soil with elevated levels of quinate.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,quinate,clay|sand|silt|quinate,porous|porosity,,soil|quinate enriched soil|enriched soil,,pedosphere|sand|clay|silt|quinate,,pedosphere|clay|sand|silt|quinate,pedosphere,,,,
ENVO_00003096,tap water,,,,,,,,,,,ENVO_00002011,,,,,,,,,,,,,,,,,liquid water|fresh water|tap water,,,,,,,,,
ENVO_00003097,bore hole water,,,,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|bore hole water,,,,,,,,,
ENVO_00003859,horse manure,,,,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,horse manure|animal manure|manure,,,,,,,,,
ENVO_00003860,pig manure,,,Manure which is primarily composed of pig feces.,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,pig manure|animal manure|manure,,,,,,,,,
ENVO_00003869,straw,,,"An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.",,,,,,,,ENVO_0010003,,,,,,,,,anthropogenic environmental process,,,,,,,,straw,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003870,rice straw,,,,,,,,,,,ENVO_00003869,,,,,,,,,anthropogenic environmental process,,,,,,,,rice straw|straw,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003884,farmyard manure,,,,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,farmyard manure|animal manure|manure,,,,,,,,,
ENVO_00003900,rye grass silage,,,,,,,,,,,ENVO_00003071,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|rye grass silage|grass silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003903,aviation fuel,,,,,,,,jet fuel,,,ENVO_00002985,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|hydrophobicity|hydrophobic|combustibility,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|aviation fuel,,,,,,,,,
ENVO_00003908,poultry deep litter,,,,,,,,,,,ENVO_00002192,,,,,,,,,,,,,,,,,animal litter|poultry litter|poultry deep litter,,,,,,,,,
ENVO_00003914,chalk soil,,,Soil which has increased levels of chalk.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,rock|sedimentary rock|limestone|chalk,clay|sand|silt|rock|limestone|chalk|sedimentary rock,porous|porosity,,soil|enriched soil|chalk soil,,pedosphere|sand|clay|silt|rock|limestone|chalk|sedimentary rock,,pedosphere|clay|sand|silt|rock|limestone|chalk|sedimentary rock,pedosphere,,,,
ENVO_00003927,stable manure,,,,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,stable manure|animal manure|manure,,,,,,,,,
ENVO_00003930,scum,,,A layer of impurities that accumulates at the surface of a liquid (especially water or molten metal).,,,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,scum,,,,,,,,,
ENVO_00003965,anaerobic digester sludge,,,,,,,,,,,ENVO_00002129,,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,,,anthropogenic environmental process,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,anaerobic|sensitivity toward|sensitivity to oxygen,,anaerobic digester sludge|sludge|anaerobic sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003978,potato silage,,,,,,,,,,,ENVO_00003030,,,,,,,,,anthropogenic environmental process,,,,,,,,silage|potato silage,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00003982,travertine,,,Limestone which is deposited from the water of mineral springs or streams saturated with calcium carbonate.,,,,,,,,ENVO_00002053,,hard,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,precipitation process,precipitation process,hard,,,,,hard,,rock|sedimentary rock|limestone|travertine,,,precipitation process,,,,precipitation process,,
ENVO_00005738,foamy environmental material,,,An environmental material which has the quality of a foam.,,,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVO_00005739,sea foam,,The lifetime of sea foam can vary from only seconds to several hours or days. The longer-lasting foam are formed in particular when seawater contain higher concentration of dissolved organic matter that derived from sources such as algal blooms.,"A foamy environmental material which 1) is created by the agitation of seawater, 2) whose stability depends on the content of the seawater.",,,,,,,,ENVO_00005738,,,,hydrosphere,,,,,,,,,,,,,sea foam,marine water body|hydrosphere|saline water body|sea,,,,,,,,
ENVO_00005740,paddy field soil,,,Soil which is part of a paddy field.,,,,,rice paddy soil,,,ENVO_00002259; ENVO_00005755,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|paddy field soil|field soil|agricultural soil,,paddy field|agricultural field|agricultural ecosystem|field|anthropogenic environment|anthropised ecosystem|pedosphere|clay|sand|silt,,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|pedosphere|anthropised ecosystem|clay|sand|silt,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|pedosphere|anthropised ecosystem,,,,
ENVO_00005741,alpine soil,,,Soil which is part of an alpine environment.,,,,,,,envoPolar,ENVO_00001998,,porous|porosity|alpine|altitudinal condition,,,,,,,,porous|porosity|alpine|altitudinal condition,,,,clay|sand|silt,porous|porosity|alpine|altitudinal condition,,soil|alpine soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005742,arable soil,,,Soil which is capable of supporting the growth of crops.,,,,,,,envoMeo,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|arable soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005743,roadside soil,,,A portion of soil which is found in a roadside area.,,,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|roadside soil,anthropogenic geographic feature|roadside,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
