class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002006,liquid water,,,An environmental material primarily composed of dihydrogen oxide in its liquid form.,,water,,,,,,ENVO_01000815,,,,,,,,,,,,,,,,,liquid water,,,,,,,,,
ENVO_00002007,sediment,,Sediment is typically deposited on the bed or bottom of a body of water or other liquid.,Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.,,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC; envoPolar,ENVO_01000060,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment,,,,,,,,,
ENVO_00002008,dust,,Dust occurs in and may be deposited from the atmosphere.,Particulate environmental material with diameters less than 500 micrometers.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoPolar,ENVO_01000814; ENVO_01000060,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust,,,,,,,,,
ENVO_00002010,saline water,,"The threshold salt concentration for classifying water as saline varies, but typically begins at about 1,000 to 3,000 parts salt per million parts water or 0.1–0.3% salt by weight.",Water which contains a significant concentration of dissolved salts.,,,salt water,,,,,ENVO_00002006,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,,,,,
ENVO_00002011,fresh water,,"The lower bound of solute concentration required for water to be considered freshwater is variable, but is always less than that of seawater, and often cited as less than 1 gram of solutes per 1 litre of water.","Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.",,,freshwater,,sweet water,,envoEmpo; envoPolar,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|fresh water,,,,,,,,,
ENVO_00002012,hypersaline water,,"The average salinity of sea water is assumed to be around 35,000 ppm, equivalent to 35 grams of salt per one liter (or kilogram) of water.","Water which contains a highly increased concentration of dissolved salts, surpassing the average salinity of seawater.","We make no commitment to a particular threshold; this should be described on the data/information layer according to the norms of a discipline, accepted standard, or similar reference.",,,,,,envoPolar,ENVO_00002010,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|hypersaline water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,,,,,
ENVO_00002013,igneous rock,,,Rock formed from molten magma.,,,,,,,,ENVO_00001995,,hard,,,lava,,,,,hard,,,,,hard,,rock|igneous rock,,,,,,,,,
ENVO_00002014,plutonic rock,,,An igneous rock that results from the crystallization of a magma below the surface of the Earth.,,,,,intrusive rock,,,ENVO_00002013,,hard,,,lava,,,,,hard,,,,,hard,,rock|plutonic rock|igneous rock,,,,,,,,,
ENVO_00002015,volcanic rock,,"Due to the general suggestion that volcanic rock simply comes from a volcanic process, it's not immediately clear whether this is interchangeable with igneous rock.",An igneous rock that results from magma reaching the surface either as lava or fragmental ejecta.,,,,,,,,ENVO_00001995,,hard,,,,,,volcanic eruption,volcanic eruption,hard,,,,,hard,,rock|volcanic rock,,,volcanic eruption,,,,volcanic eruption,,
ENVO_00002016,sedimentary rock,,,"A rock formed by deposition of either clastic sediments, organic matter, or chemical precipitates (evaporites), followed by compaction of the particulate matter and cementation during diagenesis.",,,,,,,,ENVO_00001995,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock,,,,,,,,,
ENVO_00002017,metamorphic rock,,,A rock formed by subjecting any rock type (including previously-formed metamorphic rock) to different temperature and pressure conditions than those in which the original rock was formed. These temperatures and pressures are always higher than those at the Earth's surface and must be sufficiently high so as to change the original minerals into other mineral types or else into other forms of the same minerals (e.g. by recrystallisation).,,,,,,,,ENVO_00001995,,hard,,,,,,,,hard,,,,,hard,,rock|metamorphic rock,,,,,,,,,
ENVO_00002018,sewage,,,"Wastewater that is contaminated with feces or urine,",,,,,,,,ENVO_00002001,,waste role,waste material|animal waste material|organic waste material,,,,,,,waste role,,,,waste material|animal waste material|organic waste material,,waste role,liquid water|waste material|waste water|sewage|contaminated water,,waste material|animal waste material|organic waste material,,waste material|animal waste material|organic waste material,,,,,
ENVO_00002019,brackish water,,,Water which has a higher salinity than fresh water but a lower salinity than marine water.,,,,,,,envoPolar,ENVO_00002010,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|brackish water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,,,,,
ENVO_00002040,wood,,,,,,,,,,,ENVO_01000814; ENVO_01000155,,,,,,,,,,,,,,,,,wood,,,,,,,,,
ENVO_00002042,surface water,,,Water that is found on the surface of an astronomical object.,,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|surface water,,fluid layer|liquid water|aquatic layer|water surface|liquid layer|liquid surface layer|fluid surface layer|fluid interface layer,,fluid layer|liquid water|aquatic layer|water surface|liquid layer|liquid surface layer|fluid surface layer|fluid interface layer,fluid layer|liquid water|aquatic layer|water surface|liquid layer|liquid surface layer|fluid surface layer|fluid interface layer,,,,
ENVO_00002044,sludge,,,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,ENVO_0010001,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002045,anaerobic sediment,,,Sediment characterised by the absence of oxygen.,,,anoxic sediment,,,,envoPolar,ENVO_00002007,,porous|porosity|anaerobic|sensitivity toward|sensitivity to oxygen|granular,,,,,,,,porous|porosity|anaerobic|sensitivity toward|sensitivity to oxygen|granular,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|anaerobic sediment,,,,,,,,,
ENVO_00002046,activated sludge,,,,,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|activated sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
