ols,count
pasture,1
hard-frozen soil,1
nitrate-reducing sediment,1
sewage,1
xylene contaminated soil,1
urban stormwater,1
nitisol,1
chloropicrin enriched soil,1
alluvial paddy field soil,1
alluvial swamp soil,1
bacteria enriched soil,1
urea enriched soil,1
savanna soil,1
allotment garden soil,1
chalk soil,1
poultry deep litter,1
planosol,1
plinthosol,1
phaeozem,1
luvisol,1
ferralsol,1
saline shrimp pond water,1
gypsisol,1
gleysol,1
lixisol,1
leptosol,1
cryosol,1
acrisol,1
thermophilic granular sludge,1
intertidal sediment,1
hay compost,1
fossil material,1
estuarine mud,1
anaerobic mud,1
sea sand,1
humus-rich acidic ash soil,1
frozen compost soil,1
mountain forest soil,1
beech forest soil,1
ear wax material,1
blood plasma material,1
chyme material,1
sweat material,1
aqueous humour material,1
nesting material,1
graupel,1
fracking liquid,1
hydrothermally-influenced sediment,1
cultured organic material,1
light fraction material,1
heavy fraction material,1
material primarily composed of biogenic carbonates,1
frost-susceptible soil,1
bare soil,1
ice-bearing permafrost,1
quicksand,1
necromass,1
alluvium,1
algal material,1
acidic soil,1
refractory astrogeological material,1
time crystal,1
outer space,1
emulsion,1
steppe soil,1
peaty paddy field soil,1
urine material,1
activated sludge,1
volcanic rock,1
particulate organic carbon,1
spring water,1
marine lake water,1
haze,1
liquefied natural gas,1
liquefied petroleum gas,1
oil contaminated soil,1
self-heating coal mine waste material,1
bituminous sand,1
creosote contaminated soil,1
bacon curing brine,1
rye grass silage,1
travertine,1
siltstone,1
claystone,1
mudstone,1
lime mudstone,1
estuarine water,1
flat glass,1
container glass,1
rainwater,1
water vapour saturated air,1
hypereutrophic water,1
slightly saline water,1
moderately saline water,1
geological fracture,1
highly saline water,1
brown sea ice,1
lake water,1
particulate organic nitrogen,1
sea foam,1
runoff,1
vomit material,1
stable manure,1
aviation fuel,1
ultrafine respirable suspended particulate matter,1
river water,1
groundwater,1
farmyard manure,1
alluvial deposit,1
alluvial sediment,1
astrogeological gas,1
sandstone,1
methane ice,1
astrogeological ice,1
composted animal manure,1
heat-treated animal manure,1
bovine dairy liquid manure,1
coastal sea water,1
high-level radioactive sediment,1
ditch water,1
naphthalene enriched sediment,1
nitrobenzene enriched sediment,1
cis-dichloroethane contaminated sediment,1
silty loam,1
sandy loam,1
desalinated water,1
treated wastewater,1
residual water in soil,1
saprolite,1
pliofilm,1
formation fluid,1
limed soil,1
non-hydraulic cement,1
thatch,1
lake bottom mud,1
marine mud,1
water scum,1
red soil,1
pond soil,1
deep marine sediment,1
meadow soil,1
burned soil,1
lawn soil,1
fertilized soil,1
sawah soil,1
jungle soil,1
hydraulic cement,1
carbon nanotube enriched soil,1
ultramafic lava,1
felsic lava,1
anoxic water,1
marine snow,1
polymetallic nodule,1
dolomite,1
muddy water,1
sterile water,1
eucalyptus forest soil,1
spruce forest soil,1
leafy wood soil,1
vegetable garden soil,1
salt contaminated soil,1
potato silage,1
anaerobic digester sludge,1
acetamide enriched soil,1
area of developed space,1
water cooling,1
slush ice,1
plutonic rock,1
luminescent paint,1
acrylic paint,1
oil-based paint,1
cotton dust,1
grain dust,1
asbestos dust,1
fibrous glass dust,1
kaolin dust,1
smog,1
asphalt,1
distilled water,1
oil sludge,1
methane-laden permafrost,1
neve,1
forest ecosystem,1
mangrove biome soil,1
natural wax,1
goat manure,1
surface soil,1
pus material,1
sebum material,1
saliva material,1
oronasal secretion material,1
tear material,1
pleural effusion material,1
vitreous humor material,1
breast milk material,1
chyle material,1
cerebrospinal fluid material,1
rice straw,1
bulk soil,1
ethanol enriched soil,1
technosol,1
ornithogenic soil,1
heat stressed soil,1
greenhouse soil,1
tropical soil,1
pasture soil,1
orchard soil,1
muddy soil,1
orchid soil,1
manured soil,1
plasma,1
marl,1
industrial wastewater,1
sarcosine enriched soil,1
sediment permeated by saline water,1
asphalt concrete,1
bluegrass field soil,1
brick material,1
cement plaster,1
lime plaster,1
silica dust,1
aluminium dust,1
barium dust,1
talc dust,1
aquaculture process,1
stagnosol,1
fluvisol,1
aqueous inkjet printer ink,1
soy ink,1
hay,1
chicken breeding waste material,1
rubber plantation soil,1
marine sludge,1
suspended sediment,1
household waste material,1
boulder sediment,1
cobble sediment,1
pebble sediment,1
granular sediment,1
sandy sediment,1
silty sediment,1
clay sediment,1
mesophilic sediment,1
thermophilic sediment,1
hyperthermophilic sediment,1
skatole enriched soil,1
microbial mat material,1
root matter,1
autoclaved sand,1
planned environmental usage process,1
acid dune sand,1
gypsum plaster,1
trimethylamine enriched soil,1
atmospheric ozone,1
pumice,1
scoria,1
tuff,1
tephra,1
plant litter,1
cosmogenous sediment,1
bedrock,1
terrigenous sediment,1
gravel,1
desert sand,1
rocky sand,1
surface water,1
anaerobic stream sediment,1
food waste,1
sandy clay loam,1
ice cave congelation ice,1
plastic-frozen soil,1
hydrogel,1
kerosene oil,1
suspended colloidal sediment,1
volcanic soil,1
synovial fluid material,1
arsenate treated wood,1
mucus material,1
lymph material,1
interstitial fluid material,1
uranium ore,1
iron ore,1
gold ore,1
silty clay loam,1
congelation ice in a fresh water body,1
permafrost congelation ice,1
mist,1
anthracite,1
coke,1
pig manure,1
horse manure,1
mushroom compost,1
kynurenate enriched soil,1
testosterone enriched soil,1
clay soil,1
pantothenate enriched soil,1
gasoline exhaust,1
primer (paint),1
scree,1
arenosol,1
platinum ore,1
copper ore,1
paraffin wax fume,1
mock community culture,1
toxic waste,1
latex,1
ceramic,1
mylar,1
cellophane,1
natural-based polymer,1
litter,1
gypsum,1
slab snow,1
epiphyton,1
ammonia ice,1
carbon dioxide ice,1
forage material,1
single strain cell culture,1
epipsammon,1
vanadium fume,1
interstitial water,1
cooling water,1
stagnant water,1
cork,1
ice fog,1
agricultural potting mixture,1
cryoconite deposit,1
firn,1
bottom ash,1
fly ash,1
epixylon,1
wood ash,1
lead paint,1
zinc chloride fume,1
emissions from petroleum combustion,1
gel ink,1
pharmaceutical ink,1
podzol,1
roadside soil,1
dry soil,1
aquifer,1
forest biome,1
mangrove biome,1
broadleaf forest biome,1
broadleaf forest,1
roadside,1
animal aquaculture process,1
crustacean farming process,1
planetary structural layer,1
rural area,1
bore hole water,1
dune soil,1
regosol,1
alpine soil,1
solonetz,1
vertisol,1
umbrisol,1
solonchak,1
mesotrophic water,1
oligotrophic water,1
saline lake sediment,1
inorganically enriched sediment,1
ballast tank,1
oil field production water,1
"1,4-dioxane contaminated sludge",1
drilling bore water,1
coarse beach sand,1
coal mine lake sediment,1
arable soil,1
quinate enriched soil,1
permanent hair dye,1
metallic dust,1
methyl cellulose paste,1
rubber cement,1
volume of cyanoacrylate,1
radioactive material,1
rock dust,1
shellac,1
tragacanth,1
xanthan gum,1
diesel exhaust,1
wood dust,1
anthrosol,1
alisol,1
clay dust,1
cement dust,1
coal dust,1
L-(+)-tartrate enriched soil,1
albeluvisol,1
bile material,1
amniotic fluid material,1
blood material,1
slate dust,1
fresh animal manure,1
cambisol,1
chernozem,1
durisol,1
calcisol,1
kastanozem,1
threonine enriched soil,1
salicylate enriched soil,1
poly-beta-hydroxybutyrate enriched soil,1
sediment permeated by freshwater,1
